,human lives lost missing - type,District,Total,Flood,Non Flood,,,,,,,Date
0,,Darrang,1,1,0,,,,,,,26-06-2022
1,,Dhubri,1,1,0,,,,,,,26-06-2022
2,,Total,2,2,0,,,,,,,26-06-2022
