,human lives lost missing - type,District,Total,Flood,Non Flood,,,,,,,Date
0,,Bajali,1,1,0,,,,,,,18-06-2022
1,,Hojai,4,4,0,,,,,,,18-06-2022
2,,Karbi Anglong West,1,1,0,,,,,,,18-06-2022
3,,Kokrajhar,1,1,0,,,,,,,18-06-2022
4,,Tamulpur,1,1,0,,,,,,,18-06-2022
5,,Total,8,8,0,,,,,,,18-06-2022
