,human lives lost missing - type,District,Total,Flood,Non Flood,,,,,,,Date
0,,Cachar,1,1,0,,,,,,,20-06-2022
1,,Darrang,1,1,0,,,,,,,20-06-2022
2,,Kamrup,2,2,0,,,,,,,20-06-2022
3,,Tamulpur,1,1,0,,,,,,,20-06-2022
4,,Udalguri,2,2,0,,,,,,,20-06-2022
5,,Total,7,7,0,,,,,,,20-06-2022
