,human lives lost missing - type,District,Total,Flood,Non Flood,,,,,,,Date
0,,Cachar,2,2,0,,,,,,,28-06-2022
1,,Chirang,1,1,0,,,,,,,28-06-2022
2,,Total,3,3,0,,,,,,,28-06-2022
