object_id,structure_lost,timeperiod
02-031-00057,2.0,2020_03
02-033-00047,1.0,2020_06
02-030-02104,1.0,2020_07
02-030-02105,8.0,2020_07
02-030-02106,1.0,2020_07
02-031-00064,8.0,2020_07
02-033-00043,30.0,2020_07
02-024-02115,2.0,2020_08
02-024-02116,2.0,2020_08
02-024-02119,3.0,2020_08
02-024-02123,4.0,2020_08
02-024-02126,3.0,2020_08
02-024-02128,11.0,2020_08
02-024-02130,1.0,2020_08
02-026-00014,16.0,2020_08
02-030-02104,14.0,2020_08
02-030-02105,21.0,2020_08
02-030-02106,34.0,2020_08
02-030-02107,5.0,2020_08
02-033-00043,3.0,2020_08
02-033-00045,4.0,2020_08
02-030-02105,5.0,2020_09
02-030-02106,13.0,2020_09
02-033-00043,11.0,2020_09
02-033-00045,2.0,2020_09
02-033-00047,3.0,2020_09
02-033-00043,11.0,2021_04
02-023-00005,2.0,2021_06
02-030-02106,1.0,2021_06
02-031-00057,12.0,2021_06
02-031-00059,6.0,2021_06
02-031-00064,6.0,2021_06
02-033-00034,50.0,2021_06
02-033-00039,40.0,2021_06
02-033-00043,88.0,2021_06
02-033-00044,3.0,2021_06
02-033-00045,20.0,2021_06
02-033-00047,18.0,2021_06
02-023-00005,3.0,2021_07
02-024-02114,30.0,2021_07
02-026-00011,13.0,2021_07
02-026-00012,3.0,2021_07
02-026-00014,8.0,2021_07
02-028-02858,1.0,2021_07
02-030-02105,6.0,2021_07
02-030-02106,14.0,2021_07
02-030-02107,2.0,2021_07
02-031-00062,1.0,2021_07
02-031-00064,5.0,2021_07
02-033-00034,9.0,2021_07
02-033-00043,8.0,2021_07
02-033-00045,2.0,2021_07
02-033-00047,7.0,2021_07
02-030-02104,1.0,2021_08
02-030-02105,5.0,2021_08
02-030-02106,4.0,2021_08
02-031-00059,2.0,2021_08
02-033-00043,9.0,2021_08
02-033-00045,10.0,2021_08
02-033-00047,3.0,2021_08
02-030-02105,6.0,2021_09
02-030-02106,2.0,2021_09
02-033-00036,1.0,2021_09
02-033-00039,3.0,2021_09
02-033-00043,15.0,2021_09
02-033-00044,3.0,2021_09
02-033-00047,4.0,2021_09
02-030-02105,3.0,2021_10
02-033-00044,1.0,2021_10
02-033-00047,1.0,2021_10
02-030-02107,2.0,2022_01
02-033-00047,1.0,2022_01
02-033-00047,2.0,2022_02
02-033-00043,1.0,2022_03
02-030-02105,7.0,2022_05
02-030-02106,1.0,2022_05
02-030-02107,1.0,2022_05
02-023-00007,1.0,2022_06
02-026-00014,1.0,2022_06
02-030-02106,1.0,2022_06
02-030-02107,1.0,2022_06
02-026-00014,28.0,2022_07
02-030-02105,7.0,2022_07
02-030-02107,9.0,2022_07
02-032-00050,10.0,2022_07
02-033-00044,1.0,2022_07
02-023-00007,6.0,2022_08
02-033-00043,9.0,2022_08
02-033-00045,3.0,2022_08
02-033-00047,3.0,2022_08
02-034-01705,11.0,2022_08
02-033-00044,2.0,2022_09
02-026-00011,2.0,2023_07
02-026-00012,34.0,2023_07
02-026-00014,142.0,2023_07
02-026-00015,33.0,2023_07
02-034-00009,138.0,2023_07
02-034-00010,7.0,2023_07
02-034-01705,28.0,2023_07
02-026-00014,3.0,2023_09
02-026-00014,1.0,2024_04
