TEHSIL,object_id,drainage_density
BHARARI,02-030-02104,0.00060118
BILASPUR,02-030-02105,0.00042767
GHUMARWIN,02-030-02106,0.00056009
JHANDUTA,02-030-02107,0.00036553
NAMHOL,02-030-02108,0.00055777
NAINA DEVI,02-030-02109,0.00049973
BHATTIYAT,02-023-00001,0.00048688
BRAHMAUR,02-023-00002,0.00041381
CHAMBA,02-023-00003,0.00046700
CHAURAH,02-023-00004,0.00039487
DALHOUSIE,02-023-00005,0.00051934
PANGI,02-023-00006,0.00039992
SALUNI,02-023-00007,0.00043053
SIHUNTA,02-023-00008,0.00054163
BAMSAN,02-028-01431,0.00030162
BARSAR,02-028-02854,0.00048746
BHORANJ,02-028-02855,0.00051753
DHATWAL,02-028-02856,0.00052022
GALORE,02-028-02857,0.00054044
HAMIRPUR,02-028-02858,0.00066884
NADAUN,02-028-02859,0.00057283
TIRA SUJANPUR,02-028-02860,0.00060175
BAIJNATH,02-024-02110,0.00050871
BAROH,02-024-02111,0.00059356
DADA SIBA,02-024-02112,0.00054547
DERA GOPIPUR,02-024-02113,0.00089835
DHARMSHALA,02-024-02114,0.00057675
DHIRA,02-024-02115,0.00062964
FATEHPUR,02-024-02116,0.00057684
HARCHAKIAN,02-024-02117,0.00059523
INDORA,02-024-02118,0.00056354
JAISINGHPUR,02-024-02119,0.00062921
JASWAN  KOTLA,02-024-02120,0.00049592
JAWALAMUKHI,02-024-02121,0.00049337
JAWALI,02-024-02122,0.00050230
KANGRA,02-024-02123,0.00054790
KHUNDIAN,02-024-02124,0.00056000
MULTHAN,02-024-02125,0.00043324
NAGROTA BAGWAN,02-024-02126,0.00069832
NURPUR,02-024-02127,0.00047948
PALAMPUR,02-024-02128,0.00057882
RAKKAR,02-024-02129,0.00055935
SHAHPUR,02-024-02130,0.00054721
THURAL,02-024-02131,0.00056980
KALPA,02-034-00009,0.00041156
NICHAR,02-034-00010,0.00039581
ANI,02-026-00011,0.00041932
BANJAR,02-026-00012,0.00039803
BHUNTAR,02-026-00013,0.00043475
KULLU,02-026-00014,0.00044721
MANALI,02-026-00015,0.00040988
NERMAND,02-026-00016,0.00040695
SAINJ,02-026-00017,0.00041918
LAHAUL,02-025-00017,0.00045505
AUT,02-027-00018,0.00048583
BALDWARA,02-027-00019,0.00058643
BALH,02-027-00020,0.00057944
BALI CHOWKI,02-027-03430,0.00049582
CHACHYOT,02-027-00022,0.00050746
DHARAMPUR,02-027-00023,0.00054331
JOGINDAR NAGAR,02-027-00024,0.00054338
KARSOG,02-027-00025,0.00046034
KOTLI,02-027-00026,0.00060716
LAD BHAROL,02-027-00027,0.00062722
NIHRI,02-027-00028,0.00045478
PADHAR,02-027-00029,0.00044954
SANDHOL,02-027-00030,0.00054971
SARKAGHAT,02-027-00031,0.00042536
SUNDAR NAGAR,02-027-00032,0.00057919
THUNAG,02-027-00033,0.00048013
CHAUPAL,02-033-00034,0.00041476
CHIRGAON,02-033-00035,0.00041228
DODRA KWAR,02-033-00036,0.00038468
JUBBAL,02-033-00037,0.00039013
KOTKHAI,02-033-00038,0.00042349
KUMHARSAIN,02-033-00039,0.00042943
KUPVI,02-033-00040,0.00043971
NANKHARI,02-033-00041,0.00040870
NERUA,02-033-00042,0.00040112
RAMPUR,02-033-00043,0.00041207
ROHRU,02-033-00044,0.00045526
SHIMLA,02-033-00045,0.00045036
SEONI,02-033-00046,0.00053634
THEOG,02-033-00047,0.00043521
DADAHU,02-032-00048,0.00050368
KAMRAU,02-032-00049,0.00045637
NAHAN,02-032-00050,0.00057395
NOHRA,02-032-00051,0.00048168
PACHHAD,02-032-00052,0.00047335
RAJGARH,02-032-00053,0.00041601
RONHAT,02-032-03318,0.00048662
RENUKA,02-032-00055,0.00046165
SHALAI,02-032-00056,0.00041907
ARKI,02-031-00057,0.00044223
BADDI,02-031-00058,0.00052152
KANDAGHAT,02-031-00059,0.00040421
KASAULI,02-031-00060,0.00045105
KRISHANGARH,02-031-00061,0.00046012
NALAGARH,02-031-00062,0.00055105
RAMSHAHR,02-031-00063,0.00052110
SOLAN,02-031-00064,0.00043023
AMB,02-029-00065,0.00063466
BANGANA,02-029-00066,0.00048771
GHANARI,02-029-00067,0.00076070
HAROLI,02-029-00068,0.00060665
UNA,02-029-00069,0.00070223
PAONTA SAHIB,02-032-01637,0.00047542
HANGRANG,02-034-01703,0.00040626
MORANG,02-034-01704,0.00041573
POOH,02-034-01705,0.00041305
SANGLA,02-034-01706,0.00042219
SPITI,02-025-02401,0.00042507
