object_id,schools_damaged,timeperiod
02-030-02105,4,2021_07
02-030-02106,1,2021_07
02-027-00022,3,2024_08
02-027-00023,19,2024_08
02-027-00024,5,2024_08
02-027-00025,7,2024_08
02-027-00028,4,2024_08
02-027-00031,2,2024_08
02-027-00032,9,2024_08
02-030-02105,1,2023_06
02-026-00014,1,2023_07
02-030-02104,17,2023_07
02-030-02105,6,2023_07
02-030-02106,6,2023_07
02-030-02104,1,2022_08
02-031-00057,2,2022_08
02-031-00063,1,2022_08
02-031-00064,1,2022_08
02-031-00061,2,2020_03
02-030-02104,3,2023_09
02-030-02105,2,2023_09
02-030-02104,11,2023_08
02-030-02105,9,2023_08
02-030-02106,17,2023_08
02-027-00024,1,2024_07
02-027-00025,1,2024_07
02-033-00044,1,2024_07
