object_id,MilchlostB,timeperiod
02-024-02130,1,2023_08
02-030-02106,0,2023_08
02-033-00043,4,2023_08
02-033-00045,2,2023_08
02-032-00053,1,2021_08
02-033-00045,1,2021_08
02-031-00064,0,2020_07
02-032-00050,2,2022_07
02-033-00043,1,2020_08
02-030-02106,1,2021_07
02-023-00004,0,2023_07
02-023-00006,0,2023_07
02-024-02110,0,2023_07
02-024-02114,0,2023_07
02-024-02128,0,2023_07
02-026-00011,1,2023_07
02-026-00012,10,2023_07
02-026-00014,11,2023_07
02-026-00015,21,2023_07
02-033-00034,3,2023_07
02-033-00047,3,2023_07
02-034-00009,4,2023_07
02-034-00010,2,2023_07
02-034-01705,0,2023_07
