object_id,total_livestock_loss,timeperiod
02-031-00064,2,2020_07
02-027-00032,18,2022_07
02-030-02106,14,2022_07
02-032-00050,2,2022_07
02-023-00004,2,2022_05
02-030-02107,1,2023_09
02-024-02114,8,2023_08
02-024-02115,2,2023_08
02-024-02123,4,2023_08
02-024-02128,1,2023_08
02-024-02130,12,2023_08
02-026-00011,160,2023_08
02-027-00023,53,2023_08
02-027-00024,4,2023_08
02-027-00025,25,2023_08
02-027-00029,15,2023_08
02-027-00031,94,2023_08
02-027-00032,61,2023_08
02-027-00033,5,2023_08
02-028-02855,1,2023_08
02-028-02858,7,2023_08
02-028-02859,1,2023_08
02-028-02860,4,2023_08
02-030-02106,6,2023_08
02-030-02107,1,2023_08
02-031-00057,6,2023_08
02-031-00059,21,2023_08
02-031-00060,2,2023_08
02-031-00062,14,2023_08
02-032-01637,3,2023_08
02-033-00043,4,2023_08
02-033-00045,2,2023_08
02-034-01705,84,2023_08
02-032-00053,1,2021_08
02-033-00045,1,2021_08
02-032-01637,1,2024_07
02-033-00043,36,2024_07
02-030-02106,1,2021_07
02-027-00023,10,2021_05
02-030-02106,1,2024_09
02-032-01637,6,2024_09
02-024-02114,7,2024_08
02-026-00011,102,2024_08
02-027-00024,1,2024_08
02-027-00029,4,2024_08
02-028-02858,1,2024_08
02-030-02106,7,2024_08
02-033-00043,4,2024_08
02-033-00044,6,2024_08
02-026-00011,3,2023_06
02-027-00032,1,2023_06
02-028-02858,1,2023_06
02-023-00003,0,2023_07
02-023-00004,120,2023_07
02-023-00006,200,2023_07
02-023-00007,3,2023_07
02-024-02110,28,2023_07
02-024-02114,12,2023_07
02-024-02115,1,2023_07
02-024-02119,2,2023_07
02-024-02127,1,2023_07
02-024-02128,32,2023_07
02-026-00011,1,2023_07
02-026-00012,1132,2023_07
02-026-00014,344,2023_07
02-026-00015,29,2023_07
02-027-00024,2,2023_07
02-027-00025,1,2023_07
02-027-00032,3,2023_07
02-028-02854,0,2023_07
02-028-02859,2,2023_07
02-029-00065,5,2023_07
02-029-00066,2,2023_07
02-029-00068,1,2023_07
02-031-00057,6,2023_07
02-031-00059,2,2023_07
02-031-00060,6,2023_07
02-031-00062,2,2023_07
02-031-00064,5,2023_07
02-032-00056,1,2023_07
02-033-00034,3,2023_07
02-033-00047,3,2023_07
02-034-00009,10,2023_07
02-034-00010,1018,2023_07
02-034-01705,89,2023_07
02-023-00007,2,2022_08
02-027-00023,17,2022_08
02-027-00024,7,2022_08
02-027-00029,12,2022_08
02-027-00031,1,2022_08
02-027-00033,35,2022_08
02-028-02858,1,2022_08
02-030-02107,1,2022_08
02-023-00003,36,2022_09
02-024-02114,45,2022_09
02-027-00023,55,2022_09
02-028-02855,1,2022_09
02-028-02858,1,2022_09
02-026-00012,31,2025_06
02-033-00043,1,2020_08
