table,rows,columns
dbo.Admin,1,11
dbo.app_abstract_loss,0,31
dbo.app_agriculture_loss,6903,30
dbo.app_agriculture_loss2,764,19
dbo.app_category,3,2
dbo.app_cattle_loss,993,26
dbo.app_cattle_type_master,11,7
dbo.app_disaster_affected_area,18856,9
dbo.app_disaster_main,18799,17
dbo.app_education_loss_details,197,15
dbo.app_education_loss_main,216,18
dbo.app_fesries_detail,94,12
dbo.app_fisheries_infrastructure_master,7,6
dbo.app_fisheries_loss,80,22
dbo.app_forest_details,8,8
dbo.app_forestdep,5,20
dbo.app_fund_loss_details,44983,88
dbo.app_fund_loss_details1,3273,88
dbo.app_gender,3,2
dbo.app_health_centre_loss,599,18
dbo.app_health_centre_type_master,4,6
dbo.app_healthcenter_details,516,10
dbo.app_highereducation_loss_details,346,15
dbo.app_highereducation_loss_main,376,18
dbo.app_higherinstitute_type_master,3,6
dbo.app_horticulture_loss,634,47
dbo.app_horticulture_loss2,0,20
dbo.app_hp_departments,0,6
dbo.app_HPSBEL_loss,0,12
dbo.app_human_details,0,14
dbo.app_human_master,6028,21
dbo.app_institute_type_master,5,6
dbo.app_IPH_loss,9392,18
dbo.app_IPH_scheme_master,6,6
dbo.app_municipal_asset_master,4,6
dbo.app_municipal_loss,777,27
dbo.App_payhead,9,5
dbo.app_power_loss,3452,28
dbo.app_pwd_loss,4682,36
dbo.app_structure_loss,9996,21
dbo.app_structure_type_master,8,6
dbo.app_Trained_Category,0,4
dbo.App_worker_cat,3,3
dbo.App_Worker_Education,6,3
dbo.application_user_permissions,10344,16
dbo.application_users,513,18
dbo.areamaster,2,2
dbo.Banner,0,10
dbo.case_det,0,11
dbo.category,12,3
dbo.Circle,41,8
dbo.circle_districtMAP,18,7
dbo.circledivisionmap,540,7
dbo.cloudsourceapp,25,23
dbo.CMS_user_Permission,0,8
dbo.community,0,6
dbo.Corona,2,8
dbo.crop_master,9,7
dbo.croptype,39,6
dbo.department_master,44,6
dbo.departmentfeedback,37,5
dbo.Designation_Master,2,6
dbo.DevelopmentType,2,2
dbo.DisasterType,33,6
dbo.District,618,5
dbo.districtblockmap,485,7
dbo.DistrictRainfall,18243,12
dbo.dname,0,2
dbo.Failed_Login_Attempts,11192,5
dbo.fund_uti,2452,16
dbo.Fundallotment,186,14
dbo.helpdesk,56,18
dbo.iph_loss_detail,29460,11
dbo.is_pwdhistory,26,9
dbo.Kharif_crop,2,7
dbo.Language_Master,0,3
dbo.link_continuous,0,8
dbo.link_continuous_temp,0,18
dbo.link_icon,143,9
dbo.link_images,1158,8
dbo.link_place,5,2
dbo.link_temp,3532,34
dbo.links_final,1445,9
dbo.links_history,1991,6
dbo.links_structure,1629,24
dbo.LoginLogOffUserDetails,101982,5
dbo.mainlink,0,4
dbo.map_component_usertype,84,7
dbo.Map_Gallery_Links,0,7
dbo.map_links_photocat,0,8
dbo.municipal_loss,0,13
dbo.MyUploadTable,1926,7
dbo.package,0,9
dbo.panchayatraj,0,17
dbo.permissions,122,8
dbo.photo_category,7,12
dbo.photo_category_temp,20,14
dbo.photo_files,326,6
dbo.photo_temp,320,21
dbo.photogallary_final,127,7
dbo.power_circle,12,3
dbo.professional,0,5
dbo.Qualification_master,6,5
dbo.Records,0,12
dbo.ruraldevelopment,6110,20
dbo.SiteUsers,3,16
dbo.sqlmapoutput,0,2
dbo.st_application_components,64,7
dbo.st_block,169,7
dbo.st_cattle_category,2,2
dbo.st_components,49,12
dbo.st_damage_master,3,3
dbo.st_disaster_type,0,2
dbo.st_districts,733,9
dbo.st_division,142,6
dbo.st_module,4,6
dbo.st_panchayat,3598,5
dbo.st_panchayat_new,6807,6
dbo.st_panchayat1,39,5
dbo.St_PermissionType,5,3
dbo.st_site_config,1,10
dbo.st_states,37,3
dbo.st_sub_districts,6510,12
dbo.st_ulb,61,4
dbo.St_unit,3,3
dbo.st_villages,1495,12
dbo.State,36,4
dbo.statusmaster,0,2
dbo.structure_loss,0,13
dbo.subcate,46,4
dbo.Tbl_YesNo,2,2
dbo.Tehsils,10,7
dbo.tender_cat,0,9
dbo.tender_cat_temp,1,12
dbo.tender_corri,0,5
dbo.tender_files,0,6
dbo.tender_final,0,5
dbo.tender_temp,0,29
dbo.Theme_Info,1,14
dbo.Trained_Mans,4629,21
dbo.Trained_personals,204,15
dbo.TrainedVolunteer,32601,54
dbo.trend_institute,3,9
dbo.trend_institute_list,7,13
dbo.type,4,3
dbo.typemuniciple,2,2
dbo.urbandepartment,0,21
dbo.user_result,0,4
dbo.user_type,5,3
dbo.UserTrail,832612,9
dbo.utility_detail,3298,8
dbo.video_gallery,18,16
dbo.villages,3,8
dbo.VolunteerMails,0,8
dbo.VolunteerRegistration,237,48
dbo.Zone,5,6
dbo.zone_districtMAP,12,7
