pg_temp_id,photo_cat_id,photo_name,Photo_description,photo_file_id,url_video,image_link,transcript,created_by,created_date,approved_date,approved_by,status,type_of_media,main_pg_id,rejected_by,rejected_date,OnHomePage,current_status,Reject_reason,langid
1,1,Photo 1,Photo 1,1,,,,1,2018-09-15 04:22:33,2018-09-15 04:23:04,1.0,Deleted,3,0,,,,Published,,1
2,1,Photo 2,Photo 1,2,,,,1,2018-09-15 04:22:50,2018-09-15 04:23:01,1.0,Deleted,3,0,,,,Published,,1
3,1,Shimla,Shimla,8,,,,3,2018-09-24 10:11:43,2018-09-24 10:19:36,3.0,Active,3,0,,,,Published,,1
4,1,2,2,9,,,,3,2018-09-24 10:12:09,2018-09-24 10:19:33,3.0,Active,3,0,,,,Published,,1
5,1,3,3,10,,,,3,2018-09-24 10:12:41,2018-09-24 10:19:29,3.0,Active,3,0,,,,Published,,1
6,1,4,4,11,,,,3,2018-09-24 10:13:30,2018-09-24 10:19:25,3.0,Active,3,0,,,,Published,,1
7,1,5,5,12,,,,3,2018-09-24 10:13:46,2018-09-24 10:19:18,3.0,Active,3,0,,,,Published,,1
8,1,6,6,13,,,,3,2018-09-24 10:14:07,2018-09-24 10:19:15,3.0,Active,3,0,,,,Published,,1
9,1,7,7,14,,,,3,2018-09-24 10:14:21,2018-09-24 10:19:10,3.0,Active,3,0,,,,Published,,1
10,1,8,8,15,,,,3,2018-09-24 10:14:39,2018-09-24 10:19:07,3.0,Active,3,0,,,,Published,,1
11,1,9,9,16,,,,3,2018-09-24 10:14:55,2018-09-24 10:19:03,3.0,Active,3,0,,,,Published,,1
12,1,10,10,17,,,,3,2018-09-24 10:15:15,2018-09-24 10:19:00,3.0,Active,3,0,,,,Published,,1
13,1,11,11,18,,,,3,2018-09-24 10:15:32,2018-09-24 10:18:56,3.0,Active,3,0,,,,Published,,1
14,1,22,22,19,,,,3,2018-09-24 10:15:48,2018-09-24 10:18:53,3.0,Active,3,0,,,,Published,,1
15,1,23,23,20,,,,3,2018-09-24 10:16:03,2018-09-24 10:17:40,3.0,Active,3,0,,,,Published,,1
16,1,24,24,21,,,,3,2018-09-24 10:16:18,2018-09-24 10:17:38,3.0,Active,3,0,,,,Published,,1
17,1,25,25,22,,,,3,2018-09-24 10:16:33,2018-09-24 10:17:34,3.0,Active,3,0,,,,Published,,1
18,1,Shimla,Shimla,23,,,,3,2018-09-24 10:51:28,2018-09-24 10:55:44,3.0,Deleted,3,17,,,,Published,,1
19,1,2,2,24,,,,3,2018-09-24 10:51:40,2018-09-24 10:55:40,3.0,Deleted,3,16,,,,Published,,1
