cattle_type_id,cattle_category_id,cattle_type,status,entry_by,entry_date,ip_addr
1,1,Cow,Active,0,2018-11-19 17:39:30.923,122.176.47.24
2,1,Buffalo,Active,0,2019-01-19 13:09:06.370,122.176.47.24
3,1,Camel,Active,0,2019-01-19 13:09:19.973,122.176.47.24
4,1,Sheep,Active,0,2019-01-19 13:09:53.870,122.176.47.24
5,1,Goat,Active,0,2019-01-19 13:10:02.110,122.176.47.24
6,2,Horse,Active,0,2019-01-19 13:10:18.543,::1
7,2,Buffalo,Active,0,2019-01-19 13:18:55.450,::1
8,2,Camel,Active,0,2019-01-19 13:19:25.137,::1
9,2,Calf,Active,0,2019-01-19 13:20:58.727,::1
10,2,Donkey,Active,0,2019-01-19 13:21:07.080,::1
11,2,Pony,Active,0,2019-01-19 13:21:20.740,::1
