,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1005,"(Sarupeta | 1005), (Bajali | 0)",,,435,375,140,55,0,30-06-2022
1,,Barpeta,7534,"(Barpeta | 5659), (Baghbar | 983), (Chenga | 827), (Kalgachia | 0), (Sarthebari | 65)",,,2051,2769,2676,34,4,30-06-2022
2,,Biswanath,44,"(Biswanath | 0), (Gohpur | 0), (Halem | 44)",,,14,21,9,0,0,30-06-2022
3,,Cachar,257838,"(Udharbond | 0), (Silchar | 168398), (Katigorah | 44238), (Sonai | 42324), (Lakhipur | 2878)",,,98307,95937,63394,200,0,30-06-2022
4,,Chirang,863,"(Bengtal | 237), (Bijni | 626)",,,302,342,215,4,0,30-06-2022
5,,Darrang,787,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 265), (Sipajhar | 522)",,,212,390,170,10,5,30-06-2022
6,,Dhemaji,279,"(Sissiborgaon | 0), (Gogamukh | 0), (Jonai | 0), (Dhemaji | 279)",,,62,111,84,21,1,30-06-2022
7,,Dima-Hasao,1432,(Haflong | 1432),,,502,557,319,53,1,30-06-2022
8,,Hailakandi,78,"(Algapur | 0), (Lala | 0), (Katlicherra | 0), (Hailakandi | 78)",,,32,21,25,0,0,30-06-2022
9,,Hojai,382,"(Hojai | 382), (Lanka | 0)",,,201,131,47,3,0,30-06-2022
10,,Kamrup,1785,"(Nagarbera | 0), (Chamaria | 0), (Hajo | 1210), (Kayan | 40), (North Ghy | 535)",,,874,741,170,0,0,30-06-2022
11,,Karimganj,11077,"(Nilambazar | 413), (Badarpur | 1013), (Karimganj | 8089), (RK Nagar | 1562)",,,4632,3848,2582,12,3,30-06-2022
12,,Lakhimpur,501,"(Dhakuakhana | 0), (Bihpuria | 0), (North Lakhimpur | 0), (Kadam | 0), (Nowboicha | 0), (Subansiri | 95), (Narayanpur | 406)",,,152,239,100,10,0,30-06-2022
13,,Morigaon,175,"(Mikirbheta | 0), (Bhuragaon | 0), (Morigaon | 175), (Mayong | 0)",,,67,73,33,2,0,30-06-2022
14,,Nagaon,20987,"(Kaliabor | 0), (Samaguri | 0), (Nagaon | 14416), (Raha | 1591), (Kampur | 4980)",,,8381,7027,5436,132,11,30-06-2022
15,,Nalbari,64,"(Paschim Nalbari | 45), (Barbhag | 19)",,,29,25,9,1,0,30-06-2022
16,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,30-06-2022
17,,Tinsukia,361,"(Sadiya | 0), (Doomdooma | 158), (Tinsukia | 203)",,,108,124,117,12,0,30-06-2022
18,,Udalguri,271,"(Harisinga | 0), (Kalaigaon | 0), (Udalguri | 271)",,,120,110,40,0,1,30-06-2022
19,,Total,305565,,,,116521,112882,75587,549,26,30-06-2022
