,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1280,"(Sarupeta | 1280), (Bajali | 0)",,,455,515,255,55,0,01-07-2022
1,,Barpeta,3589,"(Barpeta | 3253), (Sarthebari | 0), (Kalgachia | 0), (Chenga | 336)",,,934,1228,1409,16,2,01-07-2022
2,,Biswanath,44,"(Gohpur | 0), (Halem | 44)",,,14,21,9,0,0,01-07-2022
3,,Cachar,235661,"(Sonai | 20450), (Katigorah | 44238), (Silchar | 168398), (Lakhipur | 2575), (Udharbond | 0)",,,89412,88167,57952,130,0,01-07-2022
4,,Chirang,648,"(Bengtal | 0), (Bijni | 648)",,,230,258,158,2,0,01-07-2022
5,,Darrang,522,"(Mangaldoi | 0), (Dalgaon | 0), (Patharighat | 0), (Sipajhar | 522)",,,92,310,120,0,0,01-07-2022
6,,Dhemaji,394,"(Gogamukh | 0), (Jonai | 0), (Sissiborgaon | 0), (Dhemaji | 394)",,,210,92,71,21,0,01-07-2022
7,,Dibrugarh,184,"(Chabua | 0), (Tengakhat | 0), (Naharkatia | 0), (Moran | 0), (Dibrugarh West | 0), (Tingkhong | 0), (Dibrugarh East | 184)",,,92,62,30,0,0,01-07-2022
8,,Dima-Hasao,1382,(Haflong | 1382),,,502,507,319,53,1,01-07-2022
9,,Hailakandi,5862,"(Lala | 0), (Algapur | 3497), (Katlicherra | 0), (Hailakandi | 2365)",,,2749,2046,1058,9,0,01-07-2022
10,,Hojai,295,"(Lanka | 0), (Hojai | 295)",,,174,88,31,2,0,01-07-2022
11,,Kamrup,1095,"(Nagarbera | 0), (Chamaria | 0), (Hajo | 810), (Kayan | 40), (North Ghy | 245)",,,501,371,223,0,0,01-07-2022
12,,Karimganj,8096,"(Nilambazar | 413), (Badarpur | 952), (Patherkandi | 0), (RK Nagar | 1069), (Karimganj | 5662)",,,2894,2187,3000,12,3,01-07-2022
13,,Lakhimpur,317,"(Dhakuakhana | 0), (Bihpuria | 0), (Kadam | 0), (Nowboicha | 0), (North Lakhimpur | 0), (Narayanpur | 222), (Subansiri | 95)",,,90,129,97,1,0,01-07-2022
14,,Morigaon,28352,"(Morigaon | 23931), (Mikirbheta | 928), (Bhuragaon | 2915), (Mayong | 578)",,,10465,9691,8162,34,0,01-07-2022
15,,Nagaon,15017,"(Kaliabor | 0), (Samaguri | 0), (Rupahi | 0), (Kampur | 4980), (Raha | 1591), (Nagaon | 8446)",,,5651,5181,4042,132,11,01-07-2022
16,,Nalbari,64,"(Barbhag | 19), (Paschim Nalbari | 45)",,,29,25,9,1,0,01-07-2022
17,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,01-07-2022
18,,Tinsukia,366,"(Sadiya | 0), (Tinsukia | 209), (Doomdooma | 157)",,,112,125,116,12,1,01-07-2022
19,,Udalguri,214,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 214)",,,86,70,58,0,0,01-07-2022
20,,Total,303484,,,,114732,111114,77140,480,18,01-07-2022
