,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,2326,"(Sarupeta | 1702), (Bajali | 624)",988,1014,255,64,5,,,21-06-2022
1,,Baksa,69,"(Barnagar RC part | 0), (Baganpara | 0), (Baska | 0), (Jalah | 0), (Barama | 69)",30,36,3,0,0,,,21-06-2022
2,,Barpeta,88018,"(Barpeta | 82772), (Chenga | 1180), (Sarthebari | 2022), (Kalgachia | 0), (Barnagar | 0), (Baghbar | 2044)",31230,34449,22253,84,2,,,21-06-2022
3,,Bongaigaon,8776,"(Srijangram | 7061), (Manikpur | 1059), (Boitamari | 656)",4014,3545,1128,89,0,,,21-06-2022
4,,Cachar,24343,"(Silchar | 10468), (Lakhipur | 3250), (Sonai | 1940), (Udharbond | 70), (Katigorah | 8615)",10375,8776,5190,0,2,,,21-06-2022
5,,Chirang,1310,"(Bijni | 569), (Bengtal | 741)",491,442,312,60,5,,,21-06-2022
6,,Darrang,4643,"(Dalgaon | 1670), (Patharighat | 0), (Mangaldoi | 1056), (Sipajhar | 1917)",1712,1676,1179,72,4,,,21-06-2022
7,,Dhubri,7068,"(Dhubri | 190), (Agamoni | 0), (Gauripur | 0), (Bilasipara | 6171), (South Salmara Part | 0), (Golakganj | 0), (Athani | 667), (Chapar | 40)",2195,3020,1853,0,0,,,21-06-2022
8,,Dima-Hasao,1663,(Haflong | 1663),588,618,400,56,1,,,21-06-2022
9,,Goalpara,33391,"(Matia | 1431), (Balijana | 22020), (Lakhipur | 9940), (Dudhnoi | 0), (Rongjuli | 0)",13488,11262,8441,178,22,,,21-06-2022
10,,Hailakandi,245,"(Algapur | 0), (Hailakandi | 0), (Lala | 0), (Katlicherra | 245)",135,23,72,15,0,,,21-06-2022
11,,Hojai,25965,"(Hojai | 22546), (Lanka | 0), (Doboka | 3419)",14174,10832,951,6,2,,,21-06-2022
12,,Kamrup,12569,"(Rangia | 2960), (Goroimari | 0), (Kayan | 1597), (Palashbari | 0), (Nagarbera | 0), (Chaygaon | 0), (Kamalpur | 3053), (Chamaria | 0), (Hajo | 3013), (North Ghy | 1946)",,,5681,4617,2188,73,10,21-06-2022
13,,Karimganj,11309,"(Nilambazar | 0), (RK Nagar | 0), (Badarpur | 1630), (Patherkandi | 85), (Karimganj | 9594)",,,4584,4488,2234,3,0,21-06-2022
14,,Nagaon,15188,"(Kaliabor | 0), (Rupahi | 0), (Dhing | 0), (Samaguri | 0), (Nagaon | 8508), (Kampur | 4980), (Raha | 1700)",,,5790,5311,3934,140,13,21-06-2022
15,,Nalbari,21121,"(Ghograpar | 0), (Banekuchi | 1503), (Tihu | 1248), (Barbhag | 1746), (Paschim Nalbari | 10914), (Nalbari | 5500), (Barkhetri | 210)",,,9374,8471,2967,291,18,21-06-2022
16,,Sonitpur,170,"(Chariduar | 0), (Naduar | 0), (Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",,,46,78,40,6,0,21-06-2022
17,,Tamulpur,2307,"(Goreswar | 1121), (Tamulpur | 1186)",,,813,777,690,27,0,21-06-2022
18,,Udalguri,1674,"(Mazbat | 430), (Khairabari | 0), (Udalguri | 738), (Harisinga | 454), (Kalaigaon | 52)",,,724,681,262,7,0,21-06-2022
19,,Total,262155,,,,106432,100116,54352,1171,84,21-06-2022
