,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1123,"(Sarupeta | 1123), (Bajali | 0)",,,430,442,195,55,1,28-06-2022
1,,Barpeta,13959,"(Barpeta | 7135), (Baghbar | 4715), (Kalgachia | 0), (Chenga | 2109), (Sarthebari | 0)",,,3811,5402,4656,82,8,28-06-2022
2,,Biswanath,161,"(Halem | 56), (Biswanath | 0), (Gohpur | 105)",,,68,60,28,5,0,28-06-2022
3,,Cachar,118242,"(Katigorah | 44238), (Sonai | 45093), (Udharbond | 0), (Silchar | 25223), (Lakhipur | 3688)",,,44996,41773,31273,200,0,28-06-2022
4,,Chirang,2129,"(Sidli | 0), (Bijni | 1892), (Bengtal | 237)",,,945,860,320,4,0,28-06-2022
5,,Darrang,1385,"(Mangaldoi | 779), (Dalgaon | 0), (Sipajhar | 606), (Patharighat | 0)",,,408,646,296,20,15,28-06-2022
6,,Dhemaji,191,"(Sissiborgaon | 0), (Jonai | 0), (Dhemaji | 191)",,,41,23,106,21,0,28-06-2022
7,,Dima-Hasao,1425,(Haflong | 1425),,,501,549,319,55,1,28-06-2022
8,,Goalpara,1747,"(Balijana | 0), (Lakhipur | 1747)",,,978,667,98,2,2,28-06-2022
9,,Hailakandi,246,"(Lala | 0), (Hailakandi | 246), (Katlicherra | 0), (Algapur | 0)",,,73,62,111,0,0,28-06-2022
10,,Hojai,564,(Hojai | 564),,,306,201,51,6,0,28-06-2022
11,,Kamrup,3301,"(Rangia | 0), (Chamaria | 0), (Kamalpur | 253), (Hajo | 2363), (North Ghy | 645), (Kayan | 40)",,,1540,1242,519,0,0,28-06-2022
12,,Karimganj,10574,"(Nilambazar | 413), (Badarpur | 1265), (Patherkandi | 118), (Karimganj | 8089), (RK Nagar | 689)",,,4404,3682,2480,8,0,28-06-2022
13,,Morigaon,175,"(Mikirbheta | 0), (Mayong | 0), (Bhuragaon | 0), (Morigaon | 175)",,,67,73,33,2,0,28-06-2022
14,,Nagaon,20251,"(Nagaon | 13680), (Raha | 1591), (Kampur | 4980)",,,7756,7072,5284,132,7,28-06-2022
15,,Nalbari,147,"(Paschim Nalbari | 115), (Barbhag | 32)",,,67,57,23,0,0,28-06-2022
16,,Sonitpur,170,(Dhekiajuli | 170),,,46,78,40,6,0,28-06-2022
17,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,28-06-2022
18,,Udalguri,309,"(Harisinga | 0), (Khairabari | 0), (Kalaigaon | 0), (Udalguri | 309)",,,128,114,65,1,1,28-06-2022
19,,Total,176201,,,,66605,63044,45918,599,35,28-06-2022
