,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,1853,"(Sarupeta | 1788), (Bajali | 65)",761,775,260,52,5,,,22-06-2022
1,,Baksa,56,"(Barnagar RC part | 0), (Baganpara | 0), (Barama | 56)",24,29,3,0,0,,,22-06-2022
2,,Barpeta,107532,"(Baghbar | 2594), (Barpeta | 101244), (Sarthebari | 2514), (Kalgachia | 0), (Barnagar | 0), (Chenga | 1180)",34717,35817,36905,90,3,,,22-06-2022
3,,Bongaigaon,4479,"(Srijangram | 2526), (Boitamari | 656), (Manikpur | 1297)",1660,1519,1223,77,0,,,22-06-2022
4,,Cachar,33766,"(Katigorah | 8615), (Lakhipur | 3415), (Silchar | 19704), (Sonai | 1938), (Udharbond | 94)",14059,11775,7928,0,4,,,22-06-2022
5,,Chirang,1363,"(Sidli | 0), (Bijni | 622), (Bengtal | 741)",466,507,322,63,5,,,22-06-2022
6,,Darrang,3568,"(Patharighat | 0), (Sipajhar | 865), (Mangaldoi | 1056), (Dalgaon | 1647)",1308,1236,1016,4,4,,,22-06-2022
7,,Dhubri,5483,"(Dhubri | 1887), (Bilasipara | 3292), (Golakganj | 0), (South Salmara Part | 0), (Athani | 304), (Gauripur | 0), (Chapar | 0), (Agamoni | 0)",1767,2333,1383,0,0,,,22-06-2022
8,,Dima-Hasao,1905,(Haflong | 1905),679,725,436,57,8,,,22-06-2022
9,,Goalpara,33363,"(Matia | 1708), (Lakhipur | 14048), (Rongjuli | 0), (Balijana | 17607), (Dudhnoi | 0)",13447,10936,8796,169,15,,,22-06-2022
10,,Hailakandi,1051,"(Algapur | 0), (Katlicherra | 0), (Hailakandi | 716), (Lala | 335)",351,360,335,5,0,,,22-06-2022
11,,Hojai,13536,"(Hojai | 10117), (Lanka | 0), (Doboka | 3419)",8151,4530,851,4,0,,,22-06-2022
12,,Kamrup,9313,"(Rangia | 2421), (Kamalpur | 3053), (Kayan | 1597), (Chaygaon | 0), (Nagarbera | 0), (Chamaria | 0), (Palashbari | 0), (Goroimari | 0), (North Ghy | 2192), (Hajo | 50)",3996,3412,1843,59,3,,,22-06-2022
13,,Karimganj,20595,"(Badarpur | 2522), (RK Nagar | 0), (Karimganj | 17888), (Patherkandi | 185)",7764,6653,6165,13,0,,,22-06-2022
14,,Morigaon,175,"(Mayong | 0), (Bhuragaon | 0), (Laharighat | 0), (Mikirbheta | 0), (Morigaon | 175)",,,67,75,33,0,0,22-06-2022
15,,Nagaon,16422,"(Kaliabor | 0), (Rupahi | 0), (Dhing | 0), (Samaguri | 0), (Nagaon | 9744), (Kampur | 4980), (Raha | 1698)",,,6280,5750,4241,140,11,22-06-2022
16,,Nalbari,13615,"(Tihu | 565), (Paschim Nalbari | 10177), (Barbhag | 1800), (Banekuchi | 643), (Nalbari | 220), (Barkhetri | 210)",,,6302,5585,1608,105,15,22-06-2022
17,,Sonitpur,170,"(Thelamara | 0), (Tezpur | 0), (Dhekiajuli | 170)",,,46,78,40,6,0,22-06-2022
18,,South Salmara,472,"(South Salmara | 0), (Mankachar | 472)",,,182,124,141,25,0,22-06-2022
19,,Tamulpur,518,"(Goreswar | 212), (Tamulpur | 306)",,,190,162,162,4,0,22-06-2022
20,,Udalguri,1890,"(Mazbat | 820), (Khairabari | 0), (Harisinga | 408), (Udalguri | 625), (Kalaigaon | 37)",,,855,741,287,7,0,22-06-2022
21,,Total,271125,,,,103072,93122,73978,880,73,22-06-2022
