,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,1280,(Sarupeta | 1280),455,515,255,55,0,,,03-07-2022
1,,Barpeta,2887,"(Barpeta | 2784), (Kalgachia | 0), (Chenga | 103), (Baghbar | 0)",568,1178,1139,2,0,,,03-07-2022
2,,Cachar,225569,"(Katigorah | 76249), (Lakhipur | 2075), (Udharbond | 0), (Sonai | 16897), (Silchar | 130348)",101726,68346,55432,65,0,,,03-07-2022
3,,Chirang,580,(Bijni | 580),206,235,136,3,0,,,03-07-2022
4,,Dibrugarh,215,"(Dibrugarh West | 0), (Moran | 0), (Chabua | 0), (Naharkatia | 0), (Tingkhong | 0), (Tengakhat | 0), (Dibrugarh East | 215)",106,88,21,0,0,,,03-07-2022
5,,Dima-Hasao,1409,(Haflong | 1409),502,546,308,52,1,,,03-07-2022
6,,Hailakandi,1996,"(Lala | 0), (Algapur | 1996), (Katlicherra | 0), (Hailakandi | 0)",875,730,385,6,0,,,03-07-2022
7,,Hojai,366,"(Lanka | 0), (Hojai | 366)",201,121,41,3,0,,,03-07-2022
8,,Kamrup,692,"(North Ghy | 115), (Kayan | 38), (Hajo | 539)",312,264,116,0,0,,,03-07-2022
9,,Karimganj,4562,"(Nilambazar | 368), (Badarpur | 727), (RK Nagar | 892), (Karimganj | 2575)",2083,1267,1200,12,0,,,03-07-2022
10,,Morigaon,25836,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 21817), (Laharighat | 0), (Bhuragaon | 4019)",11715,10738,3327,56,0,,,03-07-2022
11,,Nagaon,12177,"(Samaguri | 0), (Rupahi | 0), (Nagaon | 5606), (Raha | 1591), (Kampur | 4980)",4578,4191,3294,107,7,,,03-07-2022
12,,Nalbari,26,(Paschim Nalbari | 26),12,9,5,0,0,,,03-07-2022
13,,Tamulpur,102,(Goreswar | 102),40,41,21,0,0,,,03-07-2022
14,,Tinsukia,54,"(Tinsukia | 40), (Doomdooma | 14)",,,17 25 12 0 0,,,,,03-07-2022
15,,Udalguri,309,"(Khairabari | 0), (Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",,,128 115 65 0 1,,,,,03-07-2022
16,,Total,278060,,,,123524 88409 65757 361 9,,,,,03-07-2022
