,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Barpeta,39541,"(Baghbar | 5984), (Sarthebari | 0), (Barpeta | 31273), (Chenga | 2284), (Kalgachia | 0), (Barnagar | 0)",,,10417,14039,14965,112,8,27-06-2022
1,,Cachar,109624,"(Sonai | 38448), (Udharbond | 0), (Silchar | 25223), (Lakhipur | 1724), (Katigorah | 44229)",,,41881,38783,28818,142,0,27-06-2022
2,,Chirang,593,"(Bengtal | 0), (Sidli | 0), (Bijni | 593)",,,201,255,134,3,0,27-06-2022
3,,Darrang,1572,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 895), (Sipajhar | 677)",,,466,693,376,20,17,27-06-2022
4,,Dima-Hasao,1424,(Haflong | 1424),,,505,554,310,54,1,27-06-2022
5,,Goalpara,1747,"(Matia | 0), (Balijana | 0), (Lakhipur | 1747)",,,978,667,98,2,2,27-06-2022
6,,Hailakandi,366,"(Algapur | 0), (Lala | 0), (Hailakandi | 366)",,,141,127,98,0,0,27-06-2022
7,,Kamrup,4920,"(Rangia | 0), (Hajo | 3238), (Chamaria | 0), (Kamalpur | 253), (Kayan | 40), (North Ghy | 1389)",,,2334,1973,606,7,0,27-06-2022
8,,Karimganj,9885,"(Nilambazar | 413), (Badarpur | 1265), (RK Nagar | 0), (Patherkandi | 118), (Karimganj | 8089)",,,4296,3374,2207,8,0,27-06-2022
9,,Morigaon,175,"(Mikirbheta | 0), (Bhuragaon | 0), (Mayong | 0), (Morigaon | 175)",,,67,73,33,2,0,27-06-2022
10,,Nagaon,20296,"(Nagaon | 13725), (Kampur | 4980), (Raha | 1591)",,,7846,7144,5168,132,6,27-06-2022
11,,Nalbari,470,"(Paschim Nalbari | 438), (Barbhag | 32)",,,217,160,93,0,0,27-06-2022
12,,Sonitpur,170,(Dhekiajuli | 170),,,46,78,40,6,0,27-06-2022
13,,Tamulpur,102,(Goreswar | 102),,,40,41,21,0,0,27-06-2022
14,,Udalguri,309,"(Kalaigaon | 0), (Harisinga | 0), (Khairabari | 0), (Udalguri | 309)",,,128,114,65,1,1,27-06-2022
15,,Total,191194,,,,69563,68075,53032,489,35,27-06-2022
