,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1280,(Sarupeta | 1280),,,455,515,255,55,0,04-07-2022
1,,Barpeta,1694,"(Barpeta | 1694), (Baghbar | 0), (Kalgachia | 0)",,,442,510,740,2,0,04-07-2022
2,,Cachar,127107,"(Katigorah | 65295), (Silchar | 43365), (Udharbond | 0), (Sonai | 16897), (Lakhipur | 1550)",,,48330,44754,34023,0,0,04-07-2022
3,,Chirang,580,(Bijni | 580),,,206,235,136,3,0,04-07-2022
4,,Dibrugarh,215,"(Moran | 0), (Tengakhat | 0), (Chabua | 0), (Dibrugarh West | 0), (Naharkatia | 0), (Tingkhong | 0), (Dibrugarh East | 215)",,,106,88,21,0,0,04-07-2022
5,,Dima-Hasao,1396,(Haflong | 1396),,,494,550,299,52,1,04-07-2022
6,,Hailakandi,1075,"(Lala | 0), (Katlicherra | 0), (Algapur | 1075)",,,380,365,330,0,0,04-07-2022
7,,Hojai,548,"(Lanka | 0), (Hojai | 548)",,,302,198,45,3,0,04-07-2022
8,,Kamrup,162,"(North Ghy | 100), (Kayan | 38), (Hajo | 24)",,,63,73,26,0,0,04-07-2022
9,,Karimganj,4023,"(Nilambazar | 368), (Badarpur | 654), (Karimganj | 2109), (RK Nagar | 892)",,,1855,1155,1013,0,0,04-07-2022
10,,Morigaon,5520,"(Mikirbheta | 928), (Mayong | 0), (Laharighat | 0), (Morigaon | 573), (Bhuragaon | 4019)",,,2012,1993,1459,56,0,04-07-2022
11,,Nagaon,11260,"(Samaguri | 0), (Nagaon | 4689), (Kampur | 4980), (Raha | 1591)",,,4195,3838,3113,107,7,04-07-2022
12,,Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",,,40,41,21,0,0,04-07-2022
13,,Udalguri,309,"(Harisinga | 0), (Kalaigaon | 0), (Udalguri | 309)",,,128,115,65,0,1,04-07-2022
14,,Total,155271,,,,59008,54430,41546,278,9,04-07-2022
