,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,2990,"(Sarupeta | 0), (Bajali | 2990)",,,1251,1392,325,22,0,17-06-2022
1,,Baksa,1853,"(Baganpara | 0), (Barnagar RC part | 0), (Baska | 1469), (Barama | 314), (Jalah | 70)",,,642,753,442,8,8,17-06-2022
2,,Barpeta,6112,"(Baghbar | 0), (Kalgachia | 0), (Barnagar | 0), (Chenga | 280), (Barpeta | 5294), (Sarthebari | 538)",,,2185,2144,1772,11,0,17-06-2022
3,,Bongaigaon,4441,"(Srijangram | 1569), (Manikpur | 582), (Bongaigaon | 153), (Boitamari | 480), (Dangtol | 1657)",,,2039,1593,699,110,0,17-06-2022
4,,Chirang,96,"(Sidli | 0), (Bengtal | 0), (Bijni | 96)",,,33,31,29,3,0,17-06-2022
5,,Darrang,5085,"(Dalgaon | 0), (Sipajhar | 377), (Patharighat | 234), (Mangaldoi | 4474)",,,2043,1713,1327,1,1,17-06-2022
6,,Dhubri,4050,"(South Salmara Part | 0), (Athani | 318), (Bilasipara | 3509), (Agamoni | 0), (Chapar | 223)",,,1207,1756,1086,1,0,17-06-2022
7,,Dima-Hasao,1476,(Haflong | 1476),,,527,566,333,49,1,17-06-2022
8,,Goalpara,5118,"(Balijana | 2563), (Dudhnoi | 0), (Rongjuli | 0), (Lakhipur | 1971), (Matia | 584)",,,2132,1635,1233,103,15,17-06-2022
9,,Hojai,29745,"(Lanka | 0), (Hojai | 27730), (Doboka | 2015)",,,16014,12297,1426,6,2,17-06-2022
10,,Kamrup,5301,"(Kayan | 4332), (Goroimari | 0), (Palashbari | 0), (Chaygaon | 0), (Kamalpur | 0), (Boko | 0), (North Ghy | 221), (Hajo | 0), (Rangia | 748)",,,2405,1774,1097,25,0,17-06-2022
11,,Kamrup (M),697,"(Chandrapur | 0), (Guwahati | 77), (Dispur | 620)",,,171,341,185,0,0,17-06-2022
12,,Kokrajhar,19579,"(Bagribari | 1516), (Kokrajhar | 5880), (Bhawraguri | 1692), (Gossaigaon | 2179), (Dotma | 8312)",,,7093,6625,5803,57,1,17-06-2022
13,,Nagaon,924,"(Raha | 0), (Kampur | 924)",,,345,310,261,6,2,17-06-2022
14,,Nalbari,15103,"(Banekuchi | 2329), (Barkhetri | 0), (Paschim Nalbari | 2815), (Nalbari | 3247), (Tihu | 6065), (Ghograpar | 281), (Barbhag | 366)",,,8284,4675,2059,69,16,17-06-2022
15,,Sonitpur,66,"(Dhekiajuli | 0), (Naduar | 0), (Tezpur | 0), (Chariduar | 66)",,,30,21,15,0,0,17-06-2022
16,,Tamulpur,1427,"(Tamulpur | 440), (Goreswar | 987)",,,402,400,625,0,0,17-06-2022
17,,Tinsukia,2165,"(Tinsukia | 0), (Doomdooma | 2165)",,,863,777,415,110,0,17-06-2022
18,,Udalguri,1876,"(Khairabari | 0), (Harisinga | 0), (Udalguri | 1025), (Mazbat | 310), (Kalaigaon | 541)",,,776,573,503,24,0,17-06-2022
19,,Total,108104,,,,48442,39376,19635,605,46,17-06-2022
