,inmates in relief camps,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,Date
0,,Bajali,1840,"(Sarupeta | 1808), (Bajali | 32)",,,751,792,245,51,1,24-06-2022
1,,Barpeta,95631,"(Barpeta | 80745), (Baghbar | 11044), (Barnagar | 0), (Kalgachia | 0), (Chenga | 3554), (Sarthebari | 288)",,,32084,33696,29502,339,10,24-06-2022
2,,Bongaigaon,147,"(Manikpur | 0), (Srijangram | 147)",,,60,71,16,0,0,24-06-2022
3,,Cachar,107322,"(Katigorah | 44183), (Lakhipur | 3415), (Silchar | 22545), (Sonai | 37063), (Udharbond | 116)",,,41525,38251,27544,0,2,24-06-2022
4,,Chirang,543,(Bijni | 543),,,182,231,127,3,0,24-06-2022
5,,Darrang,1386,"(Sipajhar | 672), (Patharighat | 0), (Dalgaon | 0), (Mangaldoi | 714)",,,420,599,362,3,2,24-06-2022
6,,Dhubri,2779,"(Bilasipara | 1377), (Gauripur | 0), (Athani | 0), (South Salmara Part | 0), (Agamoni | 0), (Dhubri | 1402)",,,911,1196,672,0,0,24-06-2022
7,,Dima-Hasao,1922,(Haflong | 1922),,,691,737,437,54,3,24-06-2022
8,,Goalpara,8707,"(Matia | 1443), (Lakhipur | 3791), (Balijana | 3473), (Rongjuli | 0)",,,3934,3068,1651,46,8,24-06-2022
9,,Hailakandi,810,"(Katlicherra | 0), (Lala | 0), (Algapur | 0), (Hailakandi | 810)",,,299,243,268,0,0,24-06-2022
10,,Hojai,3392,"(Hojai | 1728), (Lanka | 0), (Doboka | 1664)",,,1860,1208,313,10,1,24-06-2022
11,,Kamrup,3118,"(Rangia | 537), (Hajo | 0), (Palashbari | 0), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 718), (Nagarbera | 0), (Goroimari | 0), (Kayan | 258), (North Ghy | 1605)",,,1204,1293,602,19,0,24-06-2022
12,,Karimganj,13885,"(RK Nagar | 0), (Badarpur | 2485), (Nilambazar | 357), (Patherkandi | 185), (Karimganj | 10858)",,,5608,5311,2954,12,0,24-06-2022
13,,Morigaon,175,"(Bhuragaon | 0), (Morigaon | 175), (Mikirbheta | 0), (Mayong | 0)",,,67,73,33,2,0,24-06-2022
14,,Nagaon,17950,"(Rupahi | 0), (Samaguri | 0), (Kampur | 4980), (Nagaon | 11460), (Raha | 1510)",,,7200,6535,4080,129,6,24-06-2022
15,,Nalbari,5274,"(Paschim Nalbari | 4291), (Barbhag | 730), (Tihu | 83), (Barkhetri | 0), (Nalbari | 170)",,,2383,1922,945,22,2,24-06-2022
16,,Sonitpur,170,"(Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",,,46,78,40,6,0,24-06-2022
17,,South Salmara,410,"(South Salmara | 0), (Mankachar | 410)",,,152,121,117,20,0,24-06-2022
18,,Tamulpur,25,(Tamulpur | 25),,,11,10,4,0,0,24-06-2022
19,,Udalguri,302,"(Khairabari | 0), (Harisinga | 0), (Mazbat | 0), (Kalaigaon | 0), (Udalguri | 302)",,,133,117,52,0,0,24-06-2022
20,,Total,265788,,,,99521,95552,69964,716,35,24-06-2022
