,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,1260,"(Sarupeta | 1260), (Bajali | 0)",535,475,195,55,0,,,29-06-2022
1,,Barpeta,11870,"(Barpeta | 6830), (Baghbar | 3023), (Chenga | 2017), (Kalgachia | 0), (Sarthebari | 0)",3012,4690,4098,64,6,,,29-06-2022
2,,Biswanath,631,"(Biswanath | 0), (Halem | 390), (Gohpur | 241)",255,275,87,14,0,,,29-06-2022
3,,Cachar,257821,"(Silchar | 168398), (Lakhipur | 2858), (Sonai | 42327), (Katigorah | 44238), (Udharbond | 0)",98307,95917,63394,200,3,,,29-06-2022
4,,Chirang,1179,"(Bijni | 942), (Bengtal | 237)",465,470,240,4,0,,,29-06-2022
5,,Darrang,871,"(Mangaldoi | 265), (Patharighat | 0), (Dalgaon | 0), (Sipajhar | 606)",233,453,170,10,5,,,29-06-2022
6,,Dhemaji,207,"(Sissiborgaon | 0), (Gogamukh | 0), (Jonai | 0), (Dhemaji | 207)",52,27,106,21,1,,,29-06-2022
7,,Dima-Hasao,1430,(Haflong | 1430),503,554,317,55,1,,,29-06-2022
8,,Hojai,474,"(Lanka | 0), (Hojai | 474)",271,142,58,3,0,,,29-06-2022
9,,Kamrup,2938,"(Rangia | 0), (Hajo | 2363), (Chamaria | 0), (Nagarbera | 0), (Kayan | 40), (North Ghy | 535)",1371,1153,414,0,0,,,29-06-2022
10,,Karimganj,10573,"(Nilambazar | 413), (Badarpur | 1265), (Patherkandi | 0), (Karimganj | 8089), (RK Nagar | 806)",4484,3673,2401,12,3,,,29-06-2022
11,,Lakhimpur,893,"(Bihpuria | 0), (Dhakuakhana | 0), (Nowboicha | 0), (Subansiri | 0), (North Lakhimpur | 0), (Kadam | 0), (Narayanpur | 893)",395,321,177,0,0,,,29-06-2022
12,,Morigaon,175,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 175), (Bhuragaon | 0)",67,73,33,2,0,,,29-06-2022
13,,Nagaon,20987,"(Samaguri | 0), (Kampur | 4980), (Nagaon | 14416), (Raha | 1591)",8336,7072,5436,132,11,,,29-06-2022
14,,Nalbari,77,"(Paschim Nalbari | 45), (Barbhag | 32)",34,31,12,0,0,,,29-06-2022
15,,Sonitpur,170,(Dhekiajuli | 170),46,78,40,6,0,,,29-06-2022
16,,Tamulpur,102,"(Tamulpur | 0), (Goreswar | 102)",40,41,21,0,0,,,29-06-2022
17,,Tinsukia,118,"(Sadiya | 0), (Tinsukia | 0), (Doomdooma | 118)",43,31,33,11,0,,,29-06-2022
18,,Udalguri,309,"(Harisinga | 0), (Khairabari | 0), (Kalaigaon | 0), (Udalguri | 309)",128,114,65,1,1,,,29-06-2022
19,,Total,312085,,118577,115590,77297,590,31,,,29-06-2022
