,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,5722,"(Bajali | 4060), (Sarupeta | 1662)",2418,2633,578,77,16,,,18-06-2022
1,,Baksa,1243,"(Jalah | 0), (Barnagar RC part | 0), (Baska | 964), (Baganpara | 75), (Barama | 204)",417,510,306,10,0,,,18-06-2022
2,,Barpeta,26537,"(Baghbar | 0), (Kalgachia | 0), (Chenga | 2311), (Barpeta | 23603), (Barnagar | 0), (Sarthebari | 623)",10608,8947,6959,22,1,,,18-06-2022
3,,Bongaigaon,4911,"(Bongaigaon | 0), (Dangtol | 0), (Srijangram | 3671), (Manikpur | 760), (Boitamari | 480)",2455,1889,520,47,0,,,18-06-2022
4,,Cachar,111,"(Silchar | 46), (Katigorah | 65), (Udharbond | 0), (Lakhipur | 0), (Sonai | 0)",49,36,26,0,0,,,18-06-2022
5,,Chirang,3603,"(Sidli | 0), (Bijni | 3440), (Bengtal | 163)",1597,1268,715,23,0,,,18-06-2022
6,,Darrang,7156,"(Dalgaon | 1670), (Mangaldoi | 4474), (Sipajhar | 511), (Patharighat | 501)",2655,2465,2011,24,1,,,18-06-2022
7,,Dhubri,7290,"(Dhubri | 0), (Gauripur | 0), (South Salmara Part | 0), (Bilasipara | 6545), (Athani | 503), (Golakganj | 66), (Chapar | 176)",2261,2893,2115,21,0,,,18-06-2022
8,,Dima-Hasao,1630,(Haflong | 1630),583,620,369,57,1,,,18-06-2022
9,,Goalpara,12132,"(Balijana | 5945), (Lakhipur | 5603), (Rongjuli | 0), (Matia | 584)",5336,4072,2588,116,20,,,18-06-2022
10,,Hojai,37785,"(Lanka | 0), (Hojai | 35404), (Doboka | 2381)",19881,17142,755,4,3,,,18-06-2022
11,,Kamrup,3714,"(Boko | 0), (Chaygaon | 0), (Kayan | 0), (Goroimari | 0), (Palashbari | 0), (Rangia | 2069), (Kamalpur | 588), (North Ghy | 174), (Hajo | 883)",2044,1145,511,14,0,,,18-06-2022
12,,Kamrup (M),87,"(Chandrapur | 0), (Sonapur | 0), (Guwahati | 77), (Azara | 0), (Dispur | 10)",,,42,26,19,0,0,18-06-2022
13,,Karimganj,28,"(Patherkandi | 12), (Karimganj | 0), (RK Nagar | 0), (Badarpur | 16)",,,8,8,11,1,0,18-06-2022
14,,Kokrajhar,11128,"(Bhawraguri | 89), (Gossaigaon | 736), (Dotma | 6451), (Kokrajhar | 1733), (Bagribari | 2119)",,,5197,4259,1560,100,12,18-06-2022
15,,Nagaon,4488,"(Kaliabor | 0), (Samaguri | 0), (Raha | 120), (Kampur | 1711), (Nagaon | 2657)",,,1681,1633,1156,15,3,18-06-2022
16,,Nalbari,18876,"(Tihu | 3602), (Banekuchi | 6447), (Barkhetri | 0), (Paschim Nalbari | 2836), (Barbhag | 999), (Ghograpar | 276), (Nalbari | 4716)",,,6709,7958,3917,246,46,18-06-2022
17,,Sonitpur,500,"(Chariduar | 0), (Dhekiajuli | 500), (Tezpur | 0)",,,155,222,122,1,0,18-06-2022
18,,Tamulpur,2095,"(Goreswar | 1167), (Tamulpur | 928)",,,607,612,873,3,0,18-06-2022
19,,Tinsukia,2123,(Doomdooma | 2123),,,863,777,415,68,0,18-06-2022
20,,Udalguri,5206,"(Khairabari | 0), (Udalguri | 1395), (Mazbat | 1710), (Kalaigaon | 1492), (Harisinga | 609)",,,2293,1787,945,181,0,18-06-2022
21,,Total,156365,,,,67859,60902,26471,1030,103,18-06-2022
