,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,2170,"(Sarupeta | 2122), (Bajali | 48)",906,938,273,52,1,,,23-06-2022
1,,Barpeta,110535,"(Barpeta | 101245), (Baghbar | 3222), (Chenga | 3554), (Barnagar | 0), (Sarthebari | 2514), (Kalgachia | 0)",35893,36513,37789,337,3,,,23-06-2022
2,,Bongaigaon,2233,"(Srijangram | 366), (Boitamari | 656), (Manikpur | 1211)",913,757,552,11,0,,,23-06-2022
3,,Cachar,71977,"(Katigorah | 8985), (Silchar | 22549), (Sonai | 36916), (Lakhipur | 3415), (Udharbond | 112)",29430,25159,17377,4,7,,,23-06-2022
4,,Chirang,818,"(Bijni | 561), (Bengtal | 257)",275,335,204,4,0,,,23-06-2022
5,,Darrang,3813,"(Sipajhar | 1409), (Patharighat | 0), (Mangaldoi | 734), (Dalgaon | 1670)",1390,1356,1038,26,3,,,23-06-2022
6,,Dhubri,3396,"(Bilasipara | 1509), (Dhubri | 1887), (South Salmara Part | 0), (Athani | 0), (Golakganj | 0), (Gauripur | 0), (Agamoni | 0), (Chapar | 0)",1161,1430,804,1,0,,,23-06-2022
7,,Dima-Hasao,1905,(Haflong | 1905),679,725,433,60,8,,,23-06-2022
8,,Goalpara,22983,"(Matia | 1443), (Lakhipur | 14476), (Balijana | 7064), (Rongjuli | 0)",9879,7259,5716,118,11,,,23-06-2022
9,,Hailakandi,821,"(Algapur | 280), (Katlicherra | 0), (Hailakandi | 204), (Lala | 337)",361,290,165,5,0,,,23-06-2022
10,,Hojai,6949,"(Hojai | 4162), (Lanka | 0), (Doboka | 2787)",3882,2521,544,2,0,,,23-06-2022
11,,Kamrup,4919,"(Rangia | 510), (Palashbari | 0), (Hajo | 167), (Chaygaon | 0), (Nagarbera | 0), (Kayan | 524), (Chamaria | 0), (Goroimari | 0), (Kamalpur | 1607), (North Ghy | 2111)",1765,1938,1197,19,0,,,23-06-2022
12,,Karimganj,19634,"(Nilambazar | 357), (RK Nagar | 0), (Badarpur | 2522), (Karimganj | 16570), (Patherkandi | 185)",8055,7075,4491,13,0,,,23-06-2022
13,,Morigaon,175,"(Bhuragaon | 0), (Morigaon | 175), (Mayong | 0), (Mikirbheta | 0)",67,75,33,0,0,,,23-06-2022
14,,Nagaon,17675,"(Dhing | 0), (Rupahi | 0), (Samaguri | 0), (Nagaon | 11185), (Kampur | 4980), (Raha | 1510)",7018,6428,4094,129,6,,,23-06-2022
15,,Nalbari,12252,"(Ghograpar | 0), (Paschim Nalbari | 10086), (Barbhag | 1550), (Tihu | 173), (Nalbari | 250), (Barkhetri | 193)",5652,5123,1367,101,9,,,23-06-2022
16,,Sonitpur,170,"(Thelamara | 0), (Tezpur | 0), (Dhekiajuli | 170)",46,78,40,6,0,,,23-06-2022
17,,South,432,"(South Salmara | 0), (Mankachar |",164,126,121,21,0,,,23-06-2022
18,,Salmara,,432),,,,,,,,23-06-2022
19,,Tamulpur,993,"(Goreswar | 888), (Tamulpur | 105)",,,238,269,484,2,0,23-06-2022
20,,Udalguri,1025,"(Harisinga | 0), (Khairabari | 0), (Mazbat | 400), (Kalaigaon | 0), (Udalguri | 625)",,,443,365,210,7,0,23-06-2022
21,,Total,284875,,,,108217,98760,76932,918,48,23-06-2022
