,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Barpeta,57958,"(Barpeta | 44973), (Barnagar | 0), (Kalgachia | 0), (Baghbar | 10479), (Sarthebari | 0), (Chenga | 2506)",16141,19730,21929,150,8,,,26-06-2022
1,,Cachar,109623,"(Silchar | 25223), (Sonai | 38448), (Katigorah | 44229), (Udharbond | 0), (Lakhipur | 1723)",41881,38783,28818,141,0,,,26-06-2022
2,,Chirang,543,(Bijni | 543),182,231,127,3,0,,,26-06-2022
3,,Darrang,1572,"(Dalgaon | 0), (Patharighat | 0), (Mangaldoi | 895), (Sipajhar | 677)",466,693,376,20,17,,,26-06-2022
4,,Dima-Hasao,1702,(Haflong | 1702),614,666,357,57,8,,,26-06-2022
5,,Goalpara,3293,"(Matia | 0), (Rongjuli | 0), (Lakhipur | 2459), (Balijana | 834)",1568,1281,421,19,4,,,26-06-2022
6,,Hailakandi,2237,"(Hailakandi | 0), (Lala | 0), (Algapur | 2237)",1070,745,414,8,0,,,26-06-2022
7,,Hojai,220,"(Hojai | 220), (Lanka | 0), (Doboka | 0)",111,75,29,4,1,,,26-06-2022
8,,Kamrup,1903,"(Chamaria | 0), (Hajo | 0), (Palashbari | 0), (Kamalpur | 253), (Chaygaon | 0), (Rangia | 175), (Kayan | 59), (North Ghy | 1416)",732,826,326,19,0,,,26-06-2022
9,,Karimganj,13461,"(Badarpur | 1395), (Nilambazar | 413), (Patherkandi | 118), (RK Nagar | 0), (Karimganj | 11535)",5140,5153,3160,8,0,,,26-06-2022
10,,Morigaon,177,"(Mikirbheta | 0), (Mayong | 0), (Morigaon | 177), (Bhuragaon | 0)",67,75,33,2,0,,,26-06-2022
11,,Nagaon,20051,"(Raha | 1591), (Nagaon | 13480), (Kampur | 4980)",7712,7010,5191,132,6,,,26-06-2022
12,,Nalbari,3798,"(Paschim Nalbari | 3634), (Barbhag | 81), (Tihu | 83)",,,1815,1479,502,1,1,26-06-2022
13,,Sonitpur,170,(Dhekiajuli | 170),,,46,78,40,6,0,26-06-2022
14,,South Salmara,235,"(South Salmara | 0), (Mankachar | 235)",,,94,74,64,3,0,26-06-2022
15,,Tamulpur,161,(Goreswar | 161),,,85,50,26,0,0,26-06-2022
16,,Udalguri,309,"(Mazbat | 0), (Kalaigaon | 0), (Harisinga | 0), (Khairabari | 0), (Udalguri | 309)",,,128,114,65,1,1,26-06-2022
17,,Total,217413,,,,77852,77063,61878,574,46,26-06-2022
