,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,6439,"(Sarupeta | 1662), (Bajali | 4777)",2718,2983,628,93,17,,,19-06-2022
1,,Baksa,681,"(Baganpara | 0), (Barnagar RC part | 0), (Jalah | 0), (Barama | 305), (Baska | 376)",293,289,91,8,0,,,19-06-2022
2,,Barpeta,13178,"(Barpeta | 7253), (Kalgachia | 0), (Sarthebari | 2706), (Barnagar | 0), (Chenga | 1604), (Baghbar | 1615)",5528,5021,2494,116,19,,,19-06-2022
3,,Bongaigaon,8367,"(Boitamari | 586), (Srijangram | 7021), (Manikpur | 760)",3915,3358,1012,82,0,,,19-06-2022
4,,Cachar,13259,"(Katigorah | 1962), (Silchar | 10468), (Lakhipur | 108), (Sonai | 677), (Udharbond | 44)",5570,4878,2809,0,2,,,19-06-2022
5,,Chirang,3384,"(Sidli | 0), (Bengtal | 224), (Bijni | 3160)",1623,1197,546,18,0,,,19-06-2022
6,,Darrang,6777,"(Mangaldoi | 4474), (Dalgaon | 1670), (Sipajhar | 0), (Patharighat | 633)",,,2495,2330,1924,28,0,19-06-2022
7,,Dhubri,8234,"(Dhubri | 0), (Gauripur | 0), (South Salmara Part | 0), (Athani | 597), (Bilasipara | 7422), (Agamoni | 0), (Chapar | 149), (Golakganj | 66)",,,2366,3469,2379,20,0,19-06-2022
8,,Dima-Hasao,1628,(Haflong | 1628),,,583,620,369,55,1,19-06-2022
9,,Goalpara,16754,"(Balijana | 6962), (Lakhipur | 9208), (Matia | 584), (Rongjuli | 0)",,,7529,5782,3264,148,31,19-06-2022
10,,Hailakandi,1323,"(Katlicherra | 0), (Lala | 0), (Hailakandi | 772), (Algapur | 551)",,,554,412,357,0,0,19-06-2022
11,,Hojai,39405,"(Lanka | 0), (Hojai | 35986), (Doboka | 3419)",,,20534,17781,1080,8,2,19-06-2022
12,,Kamrup,6059,"(Goroimari | 0), (Kayan | 0), (Palashbari | 0), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 2454), (Rangia | 2015), (Hajo | 1060), (North Ghy | 530)",,,2928,1913,1200,17,1,19-06-2022
13,,Kamrup (M),42,"(Chandrapur | 0), (Dispur | 0), (Sonapur | 0), (Guwahati | 42)",,,25,10,7,0,0,19-06-2022
14,,Karimganj,10304,"(Nilambazar | 0), (RK Nagar | 0), (Badarpur | 959), (Patherkandi | 42), (Karimganj | 9303)",,,4162,4096,2045,1,0,19-06-2022
15,,Kokrajhar,3416,"(Bhawraguri | 0), (Gossaigaon | 542), (Bagribari | 2125), (Kokrajhar | 483), (Dotma | 266)",,,1267,1169,953,23,4,19-06-2022
16,,Nagaon,8715,"(Kaliabor | 0), (Samaguri | 0), (Kampur | 4021), (Raha | 296), (Nagaon | 4398)",,,3362,3056,2263,31,3,19-06-2022
17,,Nalbari,29965,"(Tihu | 7562), (Banekuchi | 3645), (Paschim Nalbari | 10914), (Barkhetri | 0), (Barbhag | 1746), (Nalbari | 5500), (Ghograpar | 598)",,,13993,11542,3918,467,45,19-06-2022
18,,Sonitpur,617,"(Dhekiajuli | 500), (Chariduar | 117), (Naduar | 0), (Thelamara | 0), (Tezpur | 0)",,,221,252,138,6,0,19-06-2022
19,,Tamulpur,2790,"(Goreswar | 1207), (Tamulpur | 1583)",,,813,797,1156,24,0,19-06-2022
20,,Tinsukia,1223,(Doomdooma | 1223),,,540,400,263,20,0,19-06-2022
21,,Udalguri,3864,"(Khairabari | 0), (Mazbat | 412), (Udalguri | 1689), (Harisinga | 744), (Kalaigaon | 1019)",,,1629,1290,826,118,1,19-06-2022
22,,Total,186424,,,,82648,72645,29722,1283,126,19-06-2022
