,inmates in relief camps,District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability,,,Date
0,,Bajali,5718,"(Sarupeta | 1702), (Bajali | 4016)",2417,2644,571,77,9,,,20-06-2022
1,,Baksa,277,"(Barnagar RC part | 0), (Jalah | 0), (Baska | 40), (Baganpara | 148), (Barama | 89)",98,133,44,2,0,,,20-06-2022
2,,Barpeta,62477,"(Barpeta | 55933), (Sarthebari | 2841), (Barnagar | 0), (Kalgachia | 0), (Chenga | 1180), (Baghbar | 2523)",15796,26614,19916,146,5,,,20-06-2022
3,,Bongaigaon,8430,"(Boitamari | 656), (Srijangram | 7021), (Manikpur | 753)",3889,3419,1033,89,0,,,20-06-2022
4,,Cachar,19433,"(Silchar | 10468), (Sonai | 1823), (Udharbond | 44), (Katigorah | 4463), (Lakhipur | 2635)",8364,7151,3915,1,2,,,20-06-2022
5,,Chirang,3831,"(Sidli | 0), (Bijni | 3090), (Bengtal | 741)",1693,1382,691,60,5,,,20-06-2022
6,,Darrang,5033,"(Mangaldoi | 1227), (Patharighat | 572), (Dalgaon | 1670), (Sipajhar | 1564)",1870,1915,1214,29,5,,,20-06-2022
7,,Dhubri,6990,"(Agamoni | 0), (Athani | 596), (Dhubri | 40), (Gauripur | 0), (Bilasipara | 6171), (Chapar | 117), (Golakganj | 66)",,,2168,2974,1828,20,0,20-06-2022
8,,Dima-Hasao,1609,(Haflong | 1609),,,568,601,383,56,1,20-06-2022
9,,Goalpara,19503,"(Balijana | 8622), (Matia | 1673), (Rongjuli | 0), (Lakhipur | 9208)",,,8509,6709,4084,175,26,20-06-2022
10,,Hailakandi,674,"(Lala | 0), (Hailakandi | 0), (Algapur | 429), (Katlicherra | 245)",,,330,175,153,16,0,20-06-2022
11,,Hojai,35383,"(Lanka | 0), (Hojai | 31964), (Doboka | 3419)",,,18894,15513,970,5,1,20-06-2022
12,,Kamrup,8973,"(Rangia | 2419), (Chamaria | 0), (Chaygaon | 0), (Kamalpur | 2450), (Goroimari | 0), (Palashbari | 0), (Hajo | 3387), (Kayan | 163), (North Ghy | 554)",,,3907,3216,1777,66,7,20-06-2022
13,,Kamrup (M),23,"(Sonapur | 0), (Chandrapur | 0), (Azara | 0), (Dispur | 0), (Guwahati | 23)",,,9,11,3,0,0,20-06-2022
14,,Karimganj,10911,"(RK Nagar | 0), (Badarpur | 1523), (Karimganj | 9303), (Patherkandi | 85)",,,4413,4361,2134,3,0,20-06-2022
15,,Nagaon,12912,"(Samaguri | 0), (Rupahi | 0), (Dhing | 0), (Kaliabor | 0), (Nagaon | 7638), (Raha | 1135), (Kampur | 4139)",,,4820,4420,3550,110,12,20-06-2022
16,,Nalbari,23200,"(Ghograpar | 0), (Tihu | 3192), (Paschim Nalbari | 10914), (Banekuchi | 1763), (Barkhetri | 85), (Barbhag | 1746), (Nalbari | 5500)",,,10422,9226,3245,284,23,20-06-2022
17,,Sonitpur,287,"(Chariduar | 117), (Thelamara | 0), (Dhekiajuli | 170), (Tezpur | 0)",,,112,108,61,6,0,20-06-2022
18,,Tamulpur,2923,"(Tamulpur | 1512), (Goreswar | 1411)",,,927,923,1073,0,0,20-06-2022
19,,Tinsukia,54,"(Tinsukia | 0), (Doomdooma | 54)",,,25,12,15,2,0,20-06-2022
20,,Udalguri,3178,"(Khairabari | 0), (Mazbat | 280), (Udalguri | 1615), (Kalaigaon | 540), (Harisinga | 743)",,,1245,1246,592,95,0,20-06-2022
21,,Total,231819,,,,90476,92753,47252,1242,96,20-06-2022
