,urban flood,District,Details,Date
0,,Barpeta,"Barnagar - Barpeta Road | Due to heavy rainfall ward no 1, 2, 5 & 9 of Barpeta Road Town is partly affected from 15/06/2022 to till date | 5800",20-06-2022
1,,Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue | Due to incessant rainfall, closure of sluice gates and over-tapping of Embankments in many areas in and around Silchar Town on dated 20.06.2022 | 11251",20-06-2022
2,,Darrang,"Mangaldoi - Ward No. 2,4,5,10 | The water logging due to rising of river bega is receding.Dated-20-6-2022 | 12000",20-06-2022
3,,Goalpara,"Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to Urban Flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected. The Date of occurrence of Urban Flood on 16.06.2022 to till date i.e 20.06.2022 | 7512",20-06-2022
4,,Kamrup (M),"Guwahati - B.Baruah Road, Jalukbari, BG Colony | Partial watter logging on 20-06-2022 | 0,  Dispur - Rukminigaon, Hatigaon, Sarumotoria, Sawkuchi, Hengrabari, Baghorbari, Jatia Birina Path | waterlogging on 20/06/2022 | 0",20-06-2022
5,,Karimganj,"RK Nagar - word no 1,2,3,4,6,7,10 | total 306 Nos houses submerged. Dated - 20/06/2022 | 1377",20-06-2022
