,urban flood,District,Details,Date
0,,Darrang,"Dalgaon - Kharupetia Town | Due to havy rain waterlogging at Kharupetia Town ( ward No.1 ,2,3,4,5) dated 17-05-2022 | 3000",17-05-2022
1,,Kamrup (M),"Sonapur - 12th Mile Ambher Village | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Azara - Dharapur, VIP AZARA | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Dispur - Hatigaon, Hatigaon-Sijubari, Wireless, Rukminigaon, PIBCO, Rukmini Nagar, Kalapahar, Anil Nagar, Nabin Nagar, Kerakuchi, Barsajai, Beharbari, 10th APBN Police Battalion Gate, Kahilipara Deaf and Dump School, Kahilipara Birina Path, Jaria, Darandha-Juripar, Dwarka Nagar, Down Town Hospital Backside | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Guwahati - Jalukbari, Guwahati University, Chandmari, AGP Office, Ambari, Santipur | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0",17-05-2022
