,urban flood,District,Details,Date
0,,Kamrup,"Rangia - Rangia Town, Ward No. 6, 3, 2, 1, 5, 4, 8 | Due to incessant rain for the last few days many roads are submerged in rain water as per report of concerned Lot Mandal on 15.06.2022. | 0",15-06-2022
1,,Kamrup (M),"Guwahati - Noonmati, Bhoothnath, Maligaon, Boragaon, Gotanagar, Fatasil, Bamunimaidan, Rajgarh | partial water logging took place on 15/06/2022 | 0,  Dispur - Hatigaon, Sijubari, Rukminigaon, Wireless, PIBCO Point, Borbari, Six Mile, Anil Nagar, Nabin Nagar, Zoo Road, Kahilipara, Juripar, Odalbakra, Keraikuchi | Due to heavy rainfall waterlogging took place on 15/06/2022 | 24300",15-06-2022
2,,Nalbari,"Nalbari - Hajo road, palla road, bidyapur, forest office road, circuit house road, sarathi road, collage road, nagira chowk, udaypur | Due to rain water. Dated : 15/06/2022 | 3500",15-06-2022
