,urban flood,District,Details,Date
0,,Bajali,Bajali - Pathsala Town | | 12000,16-06-2022
1,,Darrang,"Mangaldoi - Mangaldai town Ward No 6 | Due to incessant rain and rising of river water Bega water logging problem is seen at low lying areas under Mangaldai Town as on 16-06-2022 | 160,  Dalgaon - kharupetia Town | flood situation due to waterlogging at Kharupetia Town ward no. 2 and 4 under dalgaon revenue circle on 16-06-2022 | 2000",16-06-2022
2,,Goalpara,"Balijana - Goalpara Town Ward no. 04, 07, 14, 15 & 17 | Due to urban flood in Goalpara Town Ward no. 04, 07, 14, 15 & 17 got affected. The date of occurrence of Urban flood on 16.06.2022. | 1823",16-06-2022
3,,Kamrup (M),"Guwahati - Bhootnath, Maligaon, Bamunimaidan, Boragaon, Gotanagar | Partial water logging aetificial flood | 0,  Dispur - Jyotikuchi, Beharbari, Satgaon, Janasimolu, Anil Nagar, Nabin Nagar, Tarun Nagar, Hatigaon, Sijubari, Rukminigaon, Zoo Road, Odalbakra, Keraikuchi | Due to heavy rainfall waterlogging took place on 16/02/2022. | 0",16-06-2022
4,,Kokrajhar,"Kokrajhar - WARD NO. 1(BANDARPAR MOTHAURI), WARD NO.2(SANTINAGAR PATHSALA, MONORAMA SCHOOL, BABYLAND SCHOOL), WARD NO. 3(SCIENCE COLLEGE KOKRAJHAR), WARD NO.4(BHATARMARI LPS), WARD NO.5(BEd COLLEGE/FLYOVER), WARD NO. 6(KOKRAJHAR COLLEGE), WARD NO. 8(SWRANG COMMUNITY HALL), WARD NO.9(BACKSIDE OF TAXI STAND KOKRAJHAR), WARD NO.10(DWIMALU CLUB) | | 8466",16-06-2022
5,,Morigaon,"Laharighat - Moirabari Railway colony (Moirabari Town) | Due to continuous rainfall from the last 2 days ( from 14/06/2022) till date, a situation of artificial flood ( urban flood) is observed. | 188",16-06-2022
6,,Nalbari,"Nalbari - Palla road, Hazo road, Bidyapur, Gopalbazar, Barama road, College road, Nagira Chowk and Sarathi road | This places are affected due to urban flood on 15/06/2022 | 5000",16-06-2022
