,urban flood,District,Details,Date
0,,Bajali,"Bajali - Pathsala | Due to heavy rain fall in different location : Jyoti Nagar, Krishna Nagar, Lachit Nagar, Ward No 1 to 10 Date: 17/06/2022 | 12000",17-06-2022
1,,Barpeta,"Barnagar - Barpeta Road, Ward No-1, 2 & 9 | Due to heavy rain fall water logged at some places in the mentioned wards of Barpeta Road town (17-6-2022) | 5715",17-06-2022
2,,Darrang,"Mangaldoi - Mangaldai town Ward No 1,2,3,4,5,6,7&8 | Due to rising water level of river the complete town is flooded dated 17.06.2022 | 25000",17-06-2022
3,,Goalpara,"Balijana - Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 | Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 are partially affected due to heavy rain water causing urban flood. | 25600,  Lakhipur - Lakhipur Town Ward No. 6,8,9&10 | Due to Urban Flood in Lakhipur Town Ward No. 6,8,9&10 got affected. The date of occurence of Urban Flood on 16.06.2022 to till date i.e 17.06.2022 | 4537",17-06-2022
4,,Kamrup (M),"Guwahati - B.Boruah Road, Maligaon | Partial water logging on 17/06/2022 | 0,  Dispur - Nabin Nagar, Anil Nagar, Narengi, Satgaon, Keraikuchi, Rukminigaon, Hatigaon | waterlogging due to rain on 17/06/2022 | 0",17-06-2022
5,,Kokrajhar,"Kokrajhar - KOKRAJHAR TOWN | URBAN FLOODING | 8641,  Gossaigaon - Gossaigaon Town | Ward No. 1 and Ward No. 2 | 314",17-06-2022
6,,Nalbari,"Nalbari - Hazo Nalbari Road, Palla Road, Barama Road, NT Road | This places are submerged due to continuous heavy rain on 17/06/2022 | 2530",17-06-2022
7,,Udalguri,"Udalguri - Udalguri Town (Ward 01, 02, 04) | Overtopping of drain water to nearby houses in Udalguri Town area on 17.06.2022 | 342",17-06-2022
