Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate Animal Husbandry||Director Animal Husbandry,1467.0,2026_DAH1_131056_1,Yes,Open Tender,Fixed-rate,Goods,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ for the purchase of wheat bhussa,10-Mar-2026 05:30 PM,01-Apr-2026 11:30 AM,10-Mar-2026 05:30 PM,31-Mar-2026 05:00 PM,,,10-Mar-2026 05:30 PM,31-Mar-2026 05:00 PM,"27,000",No,fixed,,"Joint Director, Animal Husbandry, Palampur HP",Palampur,1,DD - Demand Draft,500.0,"Joint Director, Animal Husbandry, Palampur HP",Palampur,No,Joint Director,Joint Director Animal Husbandry Palampur HP,E-tenders for Wheat Bhussa,E-tenders for the purchase of Wheat Bhussa for Sperm Station Palampur and Jersey Farm palampur and Banuri.,,Please refer tender documents.,,Crop Products,Wheat Bhussa,Tender,60.0,365.0,Palampur,176061.0,,,,Palampur,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
