Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,No. 16934-41 dated 18.02.2026,2026_PWD_128931_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1.	Cost of tender and earnest money,19-Feb-2026 04:00 PM,25-Feb-2026 11:00 AM,19-Feb-2026 04:00 PM,25-Feb-2026 10:00 AM,,,19-Feb-2026 04:00 PM,25-Feb-2026 10:00 AM,25-Mar-2026 10:45 AM,"8,38,200",No,fixed,,Nil,Nil,1.0,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"7,000",Nil,Nil,No,Executive Engineer HPPWD Solan,near new bus stand Solan,Construction of DDL Factory to Chohra road km 3/00 to 8/00 under NABARD RIDF XXXI,"Excavation in earthwork, C/o B/walls, C/o R/walls, CD works (HPC), V shape road side drain, parapets Etc, P/L GSB, Gr-II, Gr-III, Metaling and Tarring works, P/L logo board, P/F km stone (ordinary km stone, 5th km stone, 200m stone) and road marking",as per SBD,,"4,19,06,354",Civil Works,,Tender,90.0,547.0,Solan,173212.0,,,,Solan B and R Division HPPWD,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,2.	Contractors registration,,,,,,,,,,,,,,,,2.0,Certificate Details,Registration Certificate,Registration Certificate Details,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,3.0,Financial Details,Annual Turn over certificates from CA,Annual Turn over certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"4.	SBD Qualification of bidder 4.2 (b), (c), (d), (e), (f), (g), (h), (i), (k)",,,,,,,,,,,,,,,,4.0,Machinery Details,Machinery Lease/Hire agreement copy,Machinery Lease/Hire agreement copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,5.	SBD Qualification of bidder 4.3,,,,,,,,,,,,,,,,5.0,Work Details,Existing Commitments,Existing Commitments Details,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"6.	SBD qualification of bidder 4.4A (a) i, (b)",,,,,,,,,,,,,,,,6.0,Work Details,Work Completed Certificate Copies,Work Completed Certificate Copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"7.	SBD qualification of bidder 4.48 (a) i,li,iii (b) i,ii (c) i, ii 4.4C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"8.	SBD qualification of bidder 4.4 D, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"9.	SBD qualification of bidder 4.5D,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"10.	SBD qualification of bidder 4.6 (a),(b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"11.	SBD qualification of bidder 4,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
