Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Himachal Urban Development Authority||Supdt. Engineer (S),HIMUDA||Executive Engineer,Shimla Division-I,HIMUDA",NO HIMUDA SD E TENDER 7102-11 DATED  27.02.2026,2026_HIMUD_129870_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and Earnest money (Indicated in Schedule E),27-Feb-2026 05:00 PM,11-Mar-2026 02:00 PM,27-Feb-2026 05:00 PM,09-Mar-2026 04:00 PM,,,27-Feb-2026 05:00 PM,09-Mar-2026 04:00 PM,13-Mar-2026 02:00 PM,"59,670",No,fixed,,Nil,Nil,1.0,AMENDMENT CORRIGENDUM,Other,,1.0,ICICI BANK,"1,180",Nil,Nil,No,EE HIMUDA DIVISION SHIMLA,HIMUDA DIVISION SHIMLA,"Execution of civil works for development of educational infrastructure in 19 schools under PM SHRI Scheme  SH Construction of Library and Computer Lab  and Construction of 2 Nos.Toilet s  at GSS School  Girls Solan, Distt. Solan H.P","Execution of civil works for development of educational infrastructure in 19 schools under PM SHRI Scheme  SH Construction of Library and Computer Lab  and Construction of 2 Nos.Toilet s  at GSS School  Girls Solan, Distt. Solan H.P",Please refer Tender documents.,,"29,83,053",Civil Works,,Tender,50.0,180.0,Solan,173212.0,,,,HIMUDA DIVISION SHIMLA,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"GST registration, EPF PAN and GST Clearance   is mandatory otherwise contractor will be disqualified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Under taking of acceptance of term and condition of form 6 and 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit for not having more than two works and all the information furnished with the bid is crr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
