Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Description.1,Mandatory,1.0,Approach and methodology,Yes,1.01,Firm Credentials and Experience and Aprroach and Methodology,Yes.1,2.0,Minimum annual consultancy turnover,Yes.2,2.01,INR 300 -500 crores 10 marks,Yes.3,2.02,INR 100 -300 crores 5 marks,Yes.4,3.0,Experience of Successful Transactions,Yes.5,3.01,Development of Wayside Amenities along the highways on PPP mode. Per Transaction 5 marks,Yes.6,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Ghumarwin (Civil)",E-6-2026,2026_HIMUD_127083_1,Yes,Open Tender,QCBS,Services,2.0,Yes,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,All the other terms  conditions will be applicable as per the RFP document,30-Jan-2026 05:35 PM,09-Feb-2026 11:00 AM,30-Jan-2026 05:50 PM,07-Feb-2026 05:00 PM,,,30-Jan-2026 05:50 PM,07-Feb-2026 05:00 PM,11-Feb-2026 03:40 PM,"50,000",No,fixed,,Nil,Nil,1,ICICI BANK,"1,180",Nil,Nil,No,EE HIMUDA DIVISION GHUMARWIN,EE HIMUDA DIVISION GHUMARWIN,Particulars,Expected Value,Points(Weightage),Approach and Methodology Selection of Advisor,,,Selection of Advisor,Yes,15.0,Financial Strength,,,INR 300 -500 crores 10 marks,Yes,10.0,Minimum annual consultancy turnover of INR 100 Crores,Yes,5.0,Relevant Experience of the Applicant,,,Experience of Successful Transactions,Yes,70.0,"Selection of Advisor cumTransaction Consultant for Development of Wayside Amenities at Auhar, Tehsil Ghumarwin Districit Bilaspur Himachal Pradesh on PPP mode","Selection of Advisor cumTransaction Consultant for
Development of Wayside Amenities at Auhar, Tehsil Ghumarwin Districit Bilaspur Himachal Pradesh on PPP mode",Please refer tender documents,,0.0,Consultancy,,Tender,60.0,90.0,Auhar,174021.0,,,,EE HIMUDA DIVISION GHUMARWIN,No,No,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
