Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) South||SE(OP) Nahan||Sr.Xen (E) Nahan,NED-154/2025-26,2025_HPSEB_124727_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,30-Dec-2025 02:00 PM,07-Jan-2026 12:30 PM,30-Dec-2025 02:00 PM,06-Jan-2026 04:00 PM,30-Dec-2025 02:00 PM,04-Jan-2026 05:00 PM,30-Dec-2025 02:00 PM,06-Jan-2026 04:00 PM,09-Jan-2026 12:30 PM,"1,677",No,fixed,,Nil,Nil,1.0,ICICI BANK,590.0,Nil,Nil,No,Sr. Executive Engineer ED HPSEBL Nahan,Sr. Executive Engineer ED HPSEBL Nahan,NED-154/2025-26,"E-Tender for providing three phase LT Line at various locations against existing 11/0.4 KV, 25 KVA Sub-Station Keli, 25 KVA Sub-Station Kathana, Jhajar-II, Jendi and existing 11/0.4 KV, 63 KVA Sub-Station Rampur in Electrical Section Surla No2Nahan",A Class Electrical License,,,Electrical Works,Providing New LT Line,Tender,90.0,90.0,Surla,173001.0,,,,"SR XEN ED HPSEBL, NAHAN",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified of three year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST No/PAN/EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Similar NatureWork Done Certificate/Completion Certificate as per SBD Volume I Section III Clause-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation for last six month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Other Related Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
