Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Medical Education and Research||Pt Jawahar Lal Nehru Government Medical College Chamba||Principal Office,GMC/CBA/Security/4588-94 dt 16.03.2024,2024_GMCC_88640_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Prequalification Documents required as per tender documents,16-Mar-2024 05:00 PM,28-Jun-2024 12:00 PM,30-Mar-2024 06:00 PM,28-Jun-2024 11:30 AM,,,21-Jun-2024 05:00 PM,28-Jun-2024 11:30 AM,28-Sep-2024 03:00 PM,"2,00,000",No,fixed,,Pt.JLNGMCH Chamba,Chamba,1.0,due to administrative reason dates are being changed,Date,,1.0,FDR - Fixed Deposit,500.0,Pt.JLNGMCH Chamba,Chamba,No,Additional Director,Pt. JLN Govt. Medical College Chamba,For providing security services in Pt. JLNGMCH Chamba on outsource basis,For providing security services in Pt. JLNGMCH Chamba basis,Please refer tender documents,,,Miscellaneous Services,for hiring security services on outsource basis,Tender,270.0,360.0,Pt. JLN Govt. Medical College and Hospital Chamba,176310.0,Office of the Principal Pt. JLN Govt. Medical Coll,Office of the Principal Pt. JLN Govt. Medical College Chamba (meeting hall),19-Jun-2024 12:00 PM,Office of the Principal Pt. JLNGMC CBA (meetinghal,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Documents required as per tender documents,,,,,,,,,,,,,,,,2.0,Terms and conditions of tender documents is being changed,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Cost, Checklist and other Documents required as per tender documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
