Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-496/2021,2021_HPSEB_54665_1,Yes,Limited,Turn-key,Works,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.rar,Tender Documents,14-Dec-2021 06:30 PM,19-Jan-2022 03:00 PM,14-Dec-2021 06:35 PM,19-Jan-2022 01:00 PM,,,17-Dec-2021 03:00 PM,19-Jan-2022 01:00 PM,18-Feb-2022 11:10 AM,"47,000",No,fixed,,Nil,Nil,1.0,Extension of due date-IV,Date,,1.0,ICICI BANK,"5,000",Nil,Nil,Yes,SE (Design) ES HPSEBL Hamirpur,O/O SE (Design) ES HPSEBL Hamirpur,Construction of 66 kV Double Circuit Transmission Line at Bithal,Construction 66kV D/C transmission line to proposed 66/22kV substation at Chharota (Bithal) from LILO at structure No. KN-41 of existing 66kV Kumarsain-Nogli D/C Transmission Line under Electrical System Division HPSEBL Kotla,Please refer Tender documents.,,"47,00,000",Electrical Works,,Tender,240.0,180.0,Shimla,171004.0,O/O SE (Design) ES HPSEBL Hamirpur,O/O SE (Design) ES HPSEBL Hamirpur,17-Dec-2021 11:00 AM,O/O SE (Design) ES HPSEBL Hamirpur,No,No,AOC
,,,,,,,,,,,,,,,,.xls,TechnoCommercialSchedules,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Qualifying Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
