Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Horticulture,DOH-Planting Material G03A-III,2025_DOH_97331_1,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Eligibility requirement and other documents,01-Jan-2025 06:00 PM,20-Jan-2025 04:00 PM,01-Jan-2025 06:00 PM,20-Jan-2025 04:00 PM,,,11-Jan-2025 11:00 AM,20-Jan-2025 04:00 PM,"10,000",No,fixed,,"Project Director, HPSHIVA",Shimla,1,Addendum-3,Date,,1,DD - Demand Draft,"2,500","Project Director, HPSHIVA",Shimla,No,"Project Director, HPSHIVA","Project Director, HPSHIVA, DOH Navbahar, Shimla-2",Supply of Citrus Planting Material,Supply of Citrus Planting Material,Please refer Tender documents.,,,Supply of Materials,Plants,Tender,120.0,,Various locations in HP,174001.0,"Directorate of Horticulture, Shimla","Directorate of Horticulture, Navbahar, Shimla",08-Jan-2025 11:00 AM,"Directorate of Horticulture, Navbahar, Shimla",No,No,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,Addendum1,Other,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
