Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Division,Mandi,HIMUDA",HIMUDA-MD-E-256-2025,2025_HIMUD_109758_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration  (As mentioned in NIT),09-Jul-2025 04:00 PM,19-Jul-2025 11:30 AM,10-Jul-2025 10:30 AM,18-Jul-2025 05:00 PM,,,10-Jul-2025 10:30 AM,18-Jul-2025 05:00 PM,24-Jul-2025 11:05 AM,"1,75,020",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,900",Nil,Nil,No,EE HIMUDA DIVISION MANDI,EE HIMUDA DIVISION MANDI,Construction of Housing Colony at Rajwari Tehsil Balh District Mandi HP SH Contruction of 2 Nos STP 75KLD  55 KLD with Bioremediation Phytoremediation and Microbial Treatment Technology including 90 KLD  66 KLD Septic Tank in RCC 10 KL treated water,Construction of Housing Colony at Rajwari Tehsil Balh District Mandi HP SH Contruction of 2 Nos STP 75KLD  55 KLD with Bioremediation Phytoremediation and Microbial Treatment Technology including 90 KLD  66 KLD Septic Tank in RCC 10 KL treated water,Please refer tender documents,,"87,50,928",Civil Works,,Tender,60.0,180.0,Rajwari,175027.0,,,,EE HIMUDA DIVISION MANDI,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,GST  Registration and acknowledgement of returns of GST.,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Income tax Return/clearance and PAN and EPF (As mentioned in NIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Detail of Work Done, Work in hand as per general rules No.16 tender form 7/8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bidding capacity as per eligibility criteria No.26.2 a tender form 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as shown in schedule F of tender form 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking  as uploaded on the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Criteria of eligibility as mentioned point No.7 of NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit if no work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
