Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Horticulture,HPSHIVA-G03A/2023-24-II,2024_DOH_91777_1,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Documents Cost and EMD,13-Aug-2024 06:00 PM,04-Sep-2024 11:00 AM,13-Aug-2024 06:00 PM,04-Sep-2024 11:00 AM,,,23-Aug-2024 10:00 AM,04-Sep-2024 11:00 AM,"10,000",No,fixed,,Project Director HPSHIVA,Shimla,1.0,Addendum 3,Date,,1,DD - Demand Draft,"2,500",Project Director HPSHIVA,Shimla,No,Project Director HPSHIVA,"Directorate of Horticulture, Navbahar, Shimla - 2",Supply of Planting Material,"Citrus Planting Material - Mosambi, Jaffa, Blood Red",Please refer Tender documents.,,,Supply of Materials,,Tender,120.0,365.0,Variuos location in HP,174001.0,Shimla,"Directorate of Horticulture, Navbahar, Shimla - 2",17-Aug-2024 11:00 AM,Shimla,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification Documents,,,,,,,,,,,,,,,2.0,Addendum-I,Technical Bid,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Financial Bid - BOQ,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
