Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Paonta,Irrigation and Public Health,HP",PNT-SMR02-720 No. 7981-8080 dated 12-09-2024,2024_HPIPH_93207_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per tender documents,17-Sep-2024 06:15 PM,25-Sep-2024 12:30 PM,17-Sep-2024 06:15 PM,25-Sep-2024 11:00 AM,17-Sep-2024 06:15 PM,25-Sep-2024 11:00 AM,17-Sep-2024 06:15 PM,25-Sep-2024 11:00 AM,29-Nov-2024 12:05 PM,"16,980",Yes,fixed,,EE JS Division Paonta Sahib,Paonta Sahib,1.0,ICICI BANK,250.0,EE Jal Shakti Division Paonta Sahib,Paonta Sahib,No,Executive Engineer,Jal Shakti Division Paonta Sahib PO and tehsil Paonta Sahib District Sirmour HP,Augmentation and Imp. of Water Supply Scheme for group of Villages of GP Haripurkhol (Ministry of Jal Shakti Har Ghar Nal Se Jal) in Tehsil Paonta Sahib District Sirmour HP,CO RCC Water Storage Tank 100000 litre capacity at Village Haripurkhol,Please refer to tender documents,,"8,48,830",Civil Works,,Tender,120.0,180.0,Paonta Sahib,173025.0,,,,Jal Shakti Division Paonta Sahib,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,"Earnest Money as per tender documents In case EMD exemption, attach new affidavit for non exhausted",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"PAN,GST and EPF registration or undertaking about EPF to be submitted before award of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Scanned copy of valid and legible enlistment from HP Jal Shakti Vibhag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking compliance the provision of Labour (R and A) HP rules 1974(mention name of work with dt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking for compliance the provision of HP Build. and ors. const. workers Rules 2008 (work n dt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking regarding careful study of all tender documents and joint venture is not allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
