S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage
1,96288,Aditya Industries,28-Oct-2020 08:33 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,M K Das,Internal,,Milan Kalita,21-Nov-2020 05:28 PM,techsummary_29246.pdf (983.06 KB),M.K.Das,Internal,,Milan Kalita,19-Dec-2020 02:29 PM,finsummary_29246.pdf (864.63 KB),Finance,Technical Opening Summary,Milan Kalita,21-Nov-2020 05:22 PM,finance_29246.pdf,1.0,95164.0,MAHASHAKTI PIPE INDUSTRIES- A UNIT OF BABA LOKENATH AGROTECH INDUSTRIES PVT LTD,INR,0.0,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2020_PHED_18898_1,PHE_27_JJM_20_21_T_13519_25,Empanelment of manufacturers for supply of HDPE Pipes under JJM Assam,19-Dec-2020,INR 1.0,365.0,Milan Kalita,19-Dec-2020 02:45 PM,aoc_finance_HDPE.pdf (865.00 KB),AOC on 23.11.2020 but uploaded on 19.12.2020,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Qualification Documents alongwith all filled up forms as per Bid Document,"2,000",CE PHE Water Assam,Guwahati,No,0.0,No,fixed,,Nil,Nil,09-Oct-2020 05:00 PM,30-Oct-2020 03:00 PM,09-Oct-2020 05:00 PM,29-Oct-2020 04:00 PM,NA ,NA ,09-Oct-2020 06:00 PM,29-Oct-2020 04:00 PM,Empanelment of manufacturers for supply of HDPE Pipes under JJM Assam,Empanelment of manufacturers for supply of ISI marked HDPE Pipes to be utilized against different PWSS under JJM Assam,Please refer Tender documents. ,NA ,0.0,Supply of Materials,NA ,Empanelment,90.0,365.0,Guwahati,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_27_JJM_20_21_T_13519_25,2020_PHED_18898_1,Yes,Open Tender,Empanelment,Goods,1.0,No,No,Online,No,No,No,CE PHE Water Assam,"Hengrabari, Guwahati-36",1.0,SBI Bank,AOC
2,96558,Aditya Polytechnic Pvt. Ltd.,29-Oct-2020 03:50 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:45 PM,,,,,,,,,,,,,,,,,,2.0,95204.0,Mukand Poly Products,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,96257,AEROCHEM PIPING PVT LTD,24-Oct-2020 04:55 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,,,,,,,,,,,,,,,,,,3.0,95576.0,TIRUPATI STRUCTURALS LIMITED,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,95895,Amit Polypipes Pvt. Ltd.,23-Oct-2020 12:19 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,,,,,,,,,,,,,,,,,,4.0,95580.0,WESTERN IRRIGATION SYSTEM PVT LTD,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,96328,A ONE POLYPIPES AND FITTINGS PRIVATE LIMITED,27-Oct-2020 10:49 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:45 PM,,,,,,,,,,,,,,,,,,5.0,95647.0,PRABHU POLY PIPES LIMITED,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,96342,Ashirvad pipes private limited,27-Oct-2020 11:03 AM,Accepted-AOC,Empanelled,19-Dec-2020 02:45 PM,,,,,,,,,,,,,,,,,,6.0,95990.0,UMEXPOLYMERS PVT. LTD.,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,96294,ASHISH PIPES,29-Oct-2020 03:03 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,,,,,,,,,,,,,,,,,,7.0,96058.0,Maasree Industries,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,96194,CHARU POLYOLEFIN PRODUCTS,23-Oct-2020 02:23 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:45 PM,,,,,,,,,,,,,,,,,,8.0,96194.0,CHARU POLYOLEFIN PRODUCTS,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,96571,Crestia Polytech Pvt. Ltd.,29-Oct-2020 02:38 PM,Accepted-AOC,Empanelled,19-Dec-2020 02:45 PM,,,,,,,,,,,,,,,,,,9.0,96328.0,A ONE POLYPIPES AND FITTINGS PRIVATE LIMITED,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,96237,Flexiflow Polymers LLP,24-Oct-2020 01:59 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,,,,,,,,,,,,,,,,,,10.0,96342.0,Ashirvad pipes private limited,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11,96258,JAI PUSHPA INDUSTRIES,24-Oct-2020 06:28 PM,Rejected-Technical,Technically Non Responsive,21-Nov-2020 05:28 PM,,,,,,,,,,,,,,,,,,11.0,96370.0,The Supreme Industries Limited,INR,0.0,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
