0,1,2,3,4,5,6,7,8,9,10
Assam Daily Flood Report as on 16-06-2023 at 4:00 PM,,,,,,,,,,
Particulars,Situation as on 16-06-2023 (in last 24 hours),,,,,,,,,
"Rivers 
flowing 
above 
Danger 
Level (as 
per CWC 
bulletin 
issued at 8 
AM)","Rivers flowing above danger 
level",,,Nil,,,,,,
,"Rivers flowing above highest 
flood level",,,Nil,,,,,,
"District 
Affected","No. of 
Districts 
Affected",Name of Flood Affected Districts,,,,Name of Urban Flood Districts,,,,
,11,"Biswanath, Darrang, Dhemaji, Dibrugarh, 
Lakhimpur, Tamulpur, Udalguri",,,,"Cachar, Jorhat, Kamrup (M), Nalbari",,,,
"No. Of 
Revenue 
Circles 
Affected",17,,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected",District,Total,Revenue Circle,,,,,,,
,Biswanath,1,Halem,,,,,,,
,Cachar,1,Silchar,,,,,,,
,Darrang,2,"Mangaldoi, Dalgaon",,,,,,,
,Dhemaji,2,"Sissiborgaon, Dhemaji",,,,,,,
,Dibrugarh,1,Chabua,,,,,,,
,Jorhat,1,Jorhat West,,,,,,,
,"Kamrup 
(M)",2,"Dispur, Guwahati",,,,,,,
,Lakhimpur,4,"Kadam, Narayanpur, Nowboicha, North Lakhimpur",,,,,,,
,Nalbari,1,Nalbari,,,,,,,
,Tamulpur,1,Goreswar,,,,,,,
,Udalguri,1,Kalaigaon,,,,,,,
,Total,17,,,,,,,,
"Villages 
Affected",District,Total,Revenue Circle,,,,,,,
,Biswanath,17,( Halem | 17 ),,,,,,,
,Darrang,18,"( Mangaldoi | 1 ), ( Dalgaon | 17 )",,,,,,,
,Dhemaji,8,"( Sissiborgaon | 1 ), ( Dhemaji | 7 )",,,,,,,
,Dibrugarh,1,( Chabua | 1 ),,,,,,,
,Lakhimpur,22,"( Kadam | 2 ), ( Narayanpur | 8 ), ( Nowboicha | 11 ), ( North Lakhimpur | 1 )",,,,,,,
,Tamulpur,3,( Goreswar | 3 ),,,,,,,
,Udalguri,8,( Kalaigaon | 8 ),,,,,,,
,Total,77,,,,,,,,
"Population 
And Crop 
Area 
Affected",District,Male,"Femal
e","Childre
n","Total 
Populatio
n",Population Details,"Crop Area 
( in Hect. )",Crop Area Details,,
,Biswanath,999,831,401,2231,( Halem | 2231 ),12.50,( Halem | 12.50 ),,
,Darrang,1303,1013,915,3231,"( Mangaldoi | 54 ), ( 
Dalgaon | 3177 )",70.00,"( Mangaldoi | 0.00 ), ( 
Dalgaon | 70.00 )",,
,Dhemaji,461,467,157,1085,"( Sissiborgaon | 366 ), ( 
Dhemaji | 719 )",33.00,"( Sissiborgaon | 15.00 ), 
( Dhemaji | 18.00 )",,
,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),0.00,( Chabua | 0.00 ),,
