0,1,2,3,4,5,6,7,8
Assam Daily Flood Report as on 11-06-2023 at 4:00 PM,,,,,,,,
Particulars,Situation as on 11-06-2023 (in last 24 hours),,,,,,,
"Rivers flowing 
above Danger 
Level (as per 
CWC bulletin 
issued at 8 
AM)",Rivers flowing above danger level,,,Nil,,,,
,"Rivers flowing above highest flood 
level",,,Nil,,,,
"District 
Affected","No. of 
Districts 
Name of Flood Affected Districts 
Name of Urban Flood Districts 
Affected",,,,,,,
,"2 
Biswanath 
Kamrup (M)",,,,,,,
"No. Of 
Revenue 
Circles 
Affected",2,,,,,,,
"Name Of 
Revenue 
Circles 
Affected",District,Total,Revenue Circle,,,,,
,Biswanath,1,Gohpur,,,,,
,"Kamrup 
(M)",1,Dispur,,,,,
,Total,2,,,,,,
"Villages 
Affected",District,Total,Revenue Circle,,,,,
,Biswanath,3,( Gohpur | 3 ),,,,,
,Total,3,,,,,,
"Population And 
Crop Area 
Affected",District,Male,Female,Children,"Total 
Population","Population 
Details","Crop 
Area ( 
in Hect. 
)","Crop 
Area 
Details"
,Biswanath,37,21,8,66,"( Gohpur | 66 
)",38.00,"( Gohpur | 
38.00 )"
,Total,37,21,8,66,,38.00,
"Relief Camps / 
Centres 
Opened",Nil,,,,,,,
"Inmates In 
Relief Camps",Nil,,,,,,,
"Human Lives 
Lost - 
Confirmed",Nil,,,,,,,
"Human Lives 
Lost Confirmed 
- Death Type",Nil,,,,,,,
"Human Lives 
Lost - Missing",Nil,,,,,,,
"Human Lives 
Lost Missing - 
Type",Nil,,,,,,,
"Animals 
Affected",Nil,,,,,,,
"Animals 
Washed Away",Nil,,,,,,,
"Houses 
Damaged",Nil,,,,,,,
"Rescue 
Operation",Nil,,,,,,,
"Relief 
Distributed",Nil,,,,,,,
"Relief 
Distributed 
Others",Nil,,,,,,,
"Infrastructure 
Damaged - 
Embankment 
Breached",District,Number,Details,,,,,
,Biswanath,1,"Gohpur - Kukurjan River Embankment near about 10 ft dated 11/06/2023 | Pub 
Bilotia villages | | (Long - 26.886123, Lat - 93.628098, Dept - Municipal Road)",,,,,
,Total,1,,,,,,
"Infrastructure 
Damaged - 
Embankment 
Affected",District,Number,Details,,,,,
,Dhemaji,1,"Sissiborgaon - Brahmaputra Dyke from Deorighat to Sissikalghar | Ch. 25175.00 to 
Ch. 26075.00m | Water Resource Department embankment in the form of Raincuts 
and affected of the both River side and country side slope in between Ch. 25175.00 
to Ch. 26075.00m in the Brahmaputra Dyke from Deorighat to Sissikalghar on 
10/06/2023. length- 900 meter (approx.) | (Long - 94.622666, Lat - 27.339132, Dept 
- Water Resource Deptt.)",,,,,
,Total,1,,,,,,
"Infrastructure 
Damaged - 
Road",District,Number,Details,,,,,
,Biswanath,1,"Gohpur - Singarajan to Sutardoloni Kutcha Road breached for about 20 ft dated 
11/06/2023 | Kolmouguri Missing Village | | (Long - 26.929787, Lat - 93.692991, 
Dept - P&RD)",,,,,
,Total,1,,,,,,
"Infrastructure 
Damaged - 
Bridge",Nil,,,,,,,
"Infrastructure 
Damaged - 
Wildlife",Nil,,,,,,,
"Infrastructure 
Damaged - 
Others",Nil,,,,,,,
Erosion,Nil,,,,,,,
Landslide,Nil,,,,,,,
Urban Flood,"District 
Details",,,,,,,
,"Dispur - Hatigaon, Sijubari, Rukminigaon, Sarumotoria, Baghorbari, Wireless | Waterlogging 
Kamrup 
in the areas of Hatigaon, Sijubari, Rukminigaon, Sarumotoria, Baghorbari, Wireless. Date- 
(M) 
10/06/2023. | 0 | (Long - 0.000000, Lat - 0.000000)",,,,,,,
"*Bajali, Biswanath, Hojai and Tamulpur are sub-divisions (Independent)",,,,,,,,
