0,1,2,3,4,5,6,7,8,9
Assam Daily Flood Report as on 02-07-2023 at 4:00 PM,,,,,,,,,
Particulars,Situation as on 02-07-2023 (in last 24 hours),,,,,,,,
"Rivers 
flowing 
above Danger 
Level (as per 
CWC bulletin 
issued at 8 
AM)",Rivers flowing above danger level,,,Nil,,,,,
,"Rivers flowing above highest flood 
level",,,Nil,,,,,
"District/Sub-
division 
Affected","No. of 
Districts/Sub-
divisions* 
Affected","Name of Flood Affected Districts/Sub-
divisions*",,,,Name of Urban Flood Districts/Sub-divisions*,,,
,5,"Bajali, Dhemaji, Golaghat, Kamrup, 
Kokrajhar",,,,,,,
"No. Of 
Revenue 
Circles 
Affected",9,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected","District/Sub-
division*",Total,Revenue Circle,,,,,,
,Bajali,1,Sarupeta,,,,,,
,Dhemaji,2,"Dhemaji, Sissiborgaon",,,,,,
,Golaghat,1,Dergaon,,,,,,
,Kamrup,3,"North Ghy, Hajo, Kamalpur",,,,,,
,Kokrajhar,2,"Kokrajhar, Dotma",,,,,,
,Total,9,,,,,,,
"Villages 
Affected","District/Sub-
division*",Total,Revenue Circle,,,,,,
,Bajali,1,( Sarupeta | 1 ),,,,,,
,Dhemaji,3,"( Dhemaji | 1 ), ( Sissiborgaon | 2 )",,,,,,
,Golaghat,6,( Dergaon | 6 ),,,,,,
,Kamrup,83,"( North Ghy | 6 ), ( Hajo | 60 ), ( Kamalpur | 17 )",,,,,,
,Kokrajhar,2,"( Kokrajhar | 1 ), ( Dotma | 1 )",,,,,,
,Total,95,,,,,,,
"Population 
And Crop 
Area Affected","District/Sub-
division*",Male,Female,Children,"Total 
Population","Population 
Details",,"Crop 
Area ( in 
Hect. )",Crop Area Details
,Bajali,30,22,6,58,( Sarupeta | 58 ),,4.00,( Sarupeta | 4.00 )
,Dhemaji,526,527,226,1279,"( Dhemaji | 644 
), ( 
Sissiborgaon | 
635 )",,44.00,"( Dhemaji | 4.00 ), ( 
Sissiborgaon | 40.00 )"
,Golaghat,0,0,0,0,( Dergaon | 0 ),,12.10,( Dergaon | 12.10 )
,Kamrup,2,2,4,8,"( North Ghy | 8 
), ( Hajo | 0 ), ( 
Kamalpur | 0 )",,522.90,"( North Ghy | 10.50 ), ( 
Hajo | 485.00 ), ( 
Kamalpur | 27.40 )"
,Kokrajhar,73,60,41,174,"( Kokrajhar | 
113 ), ( Dotma | 
61 )",,0.00,"( Kokrajhar | 0.00 ), ( 
Dotma | 0.00 )"
,Total,631,611,277,1519,,,583.00,
"Relief Camps 
/ Centres 
Opened","District/Sub-
division*",Total,Relief Camp,,,,Relief Distribution Centres,,
,Kamrup,1,1(North Ghy | 1),,,,0(North Ghy | 0),,
,Kokrajhar,1,1(Kokrajhar | 1),,,,0(Kokrajhar | 0),,
,Total,2,2,,,,0,,
"Inmates In 
Relief Camps","District/Sub-
division*",Total,"Revenue Circlewise 
Male",,,,"Pregnant 
Person 
/ 
Female 
Children 
with 
Lactating 
Disability 
Mother",,
,"(Hajo | 0), (Kamalpur | 0), (North 
Kamrup 
8 
2 
2 
4 
0 
0 
Ghy | 8)",,,,,,,,
,"Kokrajhar 
113 
(Kokrajhar | 113) 
41 
34 
33 
5 
0",,,,,,,,
,"Total 
 
121 
43 
36 
37 
5 
0",,,,,,,,
"Human Lives 
Lost - 
Confirmed",Nil,,,,,,,,
"Human Lives 
Lost 
Confirmed - 
Death Type",Nil,,,,,,,,
"Human Lives 
Lost - 
Missing",Nil,,,,,,,,
"Human Lives 
Lost Missing 
- Type",Nil,,,,,,,,
"Animals 
Affected","District/Sub-
division*",Total,Big,Small,Poultry,,,,
,Bajali,17,12,5,0,,,,
,Dhemaji,180,80,55,45,,,,
,Kamrup,4550,4450,100,0,,,,
,Total,4747,4542,160,45,,,,
"Animals 
Washed 
Away",Nil,,,,,,,,
"Houses 
Damaged",Nil,,,,,,,,
"Rescue 
Operation",Nil,,,,,,,,
"Relief 
Distributed",Nil,,,,,,,,
"Relief 
Distributed 
Others",Nil,,,,,,,,
"Infrastructure 
Damaged - 
Embankment 
Breached",Nil,,,,,,,,
"Infrastructure 
Damaged - 
Embankments 
Affected",Nil,,,,,,,,
"Infrastructure 
Damaged - 
Road","District/Sub-
division*",Number,Details,,,,,,
,Barpeta,20,"Sarthebari - Mohan Bazar to KayakuchiGaon road under PMGSY Pkg No- AS-01-194 road 
embankment eroded by the river Pahumara at 1st& 3rd KM. (PMGSY Completed road) in 
stretches. Side berms heavily damaged. (Lat- 26.425554,Long- 91.096309, under Sarthebari 
Rev Circle) | Mohan Bazar to KayakuchiGaon road | As per report received from 
PWD(Road) Dept on 01/07/2023 | (Long - 91.096309, Lat - 26.425554, Dept - PWD 
(Roads)),  
RajakhatBarsimla Road (MDR) submerged. Road surface badly damaged. (Lat- 26.4665, 
Long- 91.1315 under Sarthebari Rev. Circle) | RajakhatBarsimla Road (MDR) | As per report 
received from PWD(Road) Dept on 01/07/2023 | (Long - 91.131500, Lat - 26.466500, Dept - 
PWD (Roads)),  
Hathinapur to RajakhatBarsimla via Kawaimari (PMGSY Completed- Pkg. No- AS-01-516) 
submerged by river Kaldia. Side berms heavily damaged. (Lat- 26.430367, Long- 91.14652, 
Under Sarthebari Rev Circle) | Hathinapur to RajakhatBarsimla via Kawaimari | As per 
report received from PWD(Road) Dept on 01/07/2023 | (Long - 91.146520, Lat - 26.430367, 
Dept - PWD (Roads)),  
Hathinapur to RajakahtBarsimla (PMGSY completed road- PKg. No- AS-01-459) road 
embankment eroded by river Kaldia at 6th KM. (Lat- 26.43434 ,Long- 91.154235, under 
Sarthebari Rev. circle) | Hathinapur to RajakahtBarsimla | As per report received from 
PWD(Road) Dept on 01/07/2023 | (Long - 91.154235, Lat - 26.434340, Dept - PWD 
(Roads)),  
Mohanbazar to Galibandha PMGSY completed road (Pkg No- AS-01-185) RCC Bridge 
approaches on both sides damaged by river Unnirjan. Side berms heavily eroded. (Lat- 
26.429038, Long- 91.130792, under Sarthebari Rev Circle) | Mohanbazar to Galibandha | As",,,,,,
