0,1,2,3,4,5,6,7,8,9,10,11
Assam Daily Flood Report as on 14-06-2023 at 4:00 PM,,,,,,,,,,,
Particulars,Situation as on 14-06-2023 (in last 24 hours),,,,,,,,,,
"Rivers flowing 
above Danger 
Level (as per 
CWC bulletin 
issued at 8 
AM)",Rivers flowing above danger level,,,,,,,Nil,,,
,Rivers flowing above highest flood level,,,,,,,Nil,,,
"District/Sub-
division 
Affected","No. of 
Districts/Sub-
Name of Flood Affected Districts/Sub-
Name of Urban Flood Districts/Sub-divisions* 
divisions* 
divisions* 
Affected",,,,,,,,,,
,"4 
Dhemaji, Lakhimpur 
Cachar, Kamrup (M)",,,,,,,,,,
"No. Of 
Revenue 
Circles 
Affected",5,,,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected","District/Sub-
division*",Total,Revenue Circle,,,,,,,,
,Cachar,1,Silchar,,,,,,,,
,Dhemaji,1,Dhemaji,,,,,,,,
,Kamrup (M),1,Dispur,,,,,,,,
,Lakhimpur,2,"Narayanpur, Nowboicha",,,,,,,,
,Total,5,,,,,,,,,
"Villages 
Affected","District/Sub-
division*",Total,Revenue Circle,,,,,,,,
,Dhemaji,2,( Dhemaji | 2 ),,,,,,,,
,Lakhimpur,17,"( Narayanpur | 5 ), ( Nowboicha | 12 )",,,,,,,,
,Total,19,,,,,,,,,
"Population 
And Crop Area 
Affected","District/Sub-
division*",Male,Female,Children,"Total 
Population",Population Details,,,"Crop Area 
( in Hect. )",Crop Area Details,
,Dhemaji,66,61,30,157,( Dhemaji | 157 ),,,9.00,( Dhemaji | 9.00 ),
,Lakhimpur,9698,8622,2448,20768,"( Narayanpur | 0 ), ( 
Nowboicha | 20768 )",,,4.50,"( Narayanpur | 4.50 ), ( 
Nowboicha | 0.00 )",
,Total,9764,8683,2478,20925,,,,13.50,,
"Relief Camps / 
Centres 
Opened",Nil,,,,,,,,,,
"Inmates In 
Relief Camps",Nil,,,,,,,,,,
"Human Lives 
Lost - 
Confirmed",Nil,,,,,,,,,,
"Human Lives 
Lost 
Confirmed - 
Death Type",Nil,,,,,,,,,,
"Human Lives 
Lost - Missing",Nil,,,,,,,,,,
"Human Lives 
Lost Missing - 
Type",Nil,,,,,,,,,,
"Animals 
Affected","District/Sub-
Total 
Big 
Small 
Poultry 
division*",,,,,,,,,,
,"Dhemaji 
54 
17 
24 
13",,,,,,,,,,
,"Lakhimpur 
1733 
1373 
360 
0",,,,,,,,,,
,"Total 
1787 
1390 
384 
13",,,,,,,,,,
"Animals 
Washed Away",Nil,,,,,,,,,,
"Houses 
Damaged",Nil,,,,,,,,,,
