0,1,2,3,4,5,6,7,8,9,10,11
Assam Daily Flood Report as on 22-06-2023 at 4:00 PM,,,,,,,,,,,
Particulars,Situation as on 22-06-2023 (in last 24 hours),,,,,,,,,,
"Rivers 
flowing 
above 
Danger 
Level (as 
per CWC 
bulletin 
issued at 8 
AM)","Rivers flowing above 
danger level",,,"Beki (Road Bridge), Manas (Nh Road Crossing), Pagladiya (Nt Road Crossing), 
Puthimari (Nh Road Crossing), Brahmaputra (Dhubri; Neamatighat)",,,,,,,
,"Rivers flowing above 
highest flood level",,,Nil,,,,,,,
"District/Su
b-division 
Affected","No. of 
Districts/S
ub-
divisions* 
Affected","Name of Flood Affected 
Districts/Sub-divisions*",,,Name of Urban Flood Districts/Sub-divisions*,,,,,,
,22,"Bajali, Baksa, Barpeta, Biswanath, 
Bongaigaon, Chirang, Darrang, 
Dhemaji, Dhubri, Dibrugarh, Golaghat, 
Hojai, Kamrup, Kokrajhar, Lakhimpur, 
Majuli, Nagaon, Nalbari, Sonitpur, 
Tamulpur",,,"Bajali, Darrang, Jorhat, Kamrup (M), Kokrajhar",,,,,,
"No. Of 
Revenue 
Circles 
Affected",58,,,,,,,,,,
"Name Of 
Revenue 
Circles 
Affected","District/Su
b-division*",Total,Revenue Circle,,,,,,,,
,Bajali,2,"Bajali, Sarupeta",,,,,,,,
,Baksa,4,"Barama, Baska, Baganpara, Jalah",,,,,,,,
,Barpeta,2,"Barpeta, Sarthebari",,,,,,,,
,Biswanath,2,"Halem, Gohpur",,,,,,,,
,"Bongaigao
n",2,"Manikpur, Srijangram",,,,,,,,
,Chirang,3,"Bijni, Bengtal, Sidli",,,,,,,,
,Darrang,4,"Sipajhar, Mangaldoi, Patharighat, Dalgaon",,,,,,,,
,Dhemaji,2,"Dhemaji, Jonai",,,,,,,,
,Dhubri,4,"Golakganj, Dhubri, Bilasipara, Agamoni",,,,,,,,
,Dibrugarh,3,"Moran, Dibrugarh West, Chabua",,,,,,,,
,Golaghat,1,Bokakhat,,,,,,,,
,Hojai,1,Hojai,,,,,,,,
,Jorhat,1,Jorhat East,,,,,,,,
,Kamrup,5,"North Ghy, Kamalpur, Rangia, Hajo, Kayan",,,,,,,,
,"Kamrup 
(M)",1,Dispur,,,,,,,,
,Kokrajhar,5,"Bhawraguri, Bagribari, Kokrajhar, Dotma, Gossaigaon",,,,,,,,
,Lakhimpur,3,"Nowboicha, Bihpuria, Narayanpur",,,,,,,,
,Majuli,1,Majuli,,,,,,,,
,Nagaon,2,"Kampur, Raha",,,,,,,,
,Nalbari,7,"Barkhetri, Tihu, Banekuchi, Barbhag, Nalbari, Paschim Nalbari, Ghograpar",,,,,,,,
,Sonitpur,1,Dhekiajuli,,,,,,,,
,Tamulpur,2,"Goreswar, Tamulpur",,,,,,,,
,Total,58,,,,,,,,,
"Villages 
Affected","District/Su
b-division*",Total,Revenue Circle,,,,,,,,
,Bajali,196,"( Bajali | 121 ), ( Sarupeta | 75 )",,,,,,,,
,Baksa,66,"( Barama | 15 ), ( Baska | 17 ), ( Baganpara | 16 ), ( Jalah | 18 )",,,,,,,,
,Barpeta,60,"( Barpeta | 13 ), ( Sarthebari | 47 )",,,,,,,,
,Biswanath,21,"( Halem | 19 ), ( Gohpur | 2 )",,,,,,,,
,"Bongaigao
n",148,"( Manikpur | 71 ), ( Srijangram | 77 )",,,,,,,,
,Chirang,120,"( Bijni | 52 ), ( Bengtal | 23 ), ( Sidli | 45 )",,,,,,,,
,Darrang,189,"( Sipajhar | 74 ), ( Mangaldoi | 75 ), ( Patharighat | 24 ), ( Dalgaon | 16 )",,,,,,,,
,Dhemaji,4,"( Dhemaji | 3 ), ( Jonai | 1 )",,,,,,,,
