Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(Gen) Sundernagar||SE(Gen) Bhaba Nagar||Sr. Xen EMD Bhaba,No.HPSEBL/EMD/SP-12/2025-26-37,2026_HPSEB_129552_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of earnest money Deposit,26-Feb-2026 09:00 AM,07-Mar-2026 02:00 PM,26-Feb-2026 09:00 AM,07-Mar-2026 09:00 AM,,,26-Feb-2026 09:00 AM,07-Mar-2026 09:00 AM,07-Mar-2026 02:35 PM,"4,089",No,fixed,,Nil,Nil,1.0,Date Extended,Date,,1.0,ICICI BANK,590.0,Nil,Nil,No,Sr.ExecutiveEngineer Electrical Mtc. Bhaba Nagar,Sr.ExecutiveEngineer Electrical Mtc.Division HPSEBL Bhaba Nagar,EMD/SP12(Tender)/2025-26 -37,"Repair and Restoration of Flushing Gate at Weir Site Including Gate Height Extension, Seal Replacement, Mechanism Servicing, and Repair of 300 mm Sluice Valve with De silting Tank Cleaning and Removal of Blockage from 40-m Flushing Pipe at Rukti HEP",Please refer Tender documents.,,"4,08,870",Repair and Maintenance Works,,Tender,120.0,40.0,Rukti  Power House,172106.0,,,,Sr.ExecutiveEngineer Electrical Mtc. Bhaba Nagar,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit of Non Black Listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
