Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,PW/SE-III/NABARD/Tender publication/2025-26-6559-63 dated 26-09-2025,2025_PWD_116422_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of bid document shall be deposited through online mode and receipt of this effect shall be uplo,01-Oct-2025 11:00 AM,30-Oct-2025 11:00 AM,01-Oct-2025 11:05 AM,30-Oct-2025 10:00 AM,,,01-Oct-2025 11:10 AM,30-Oct-2025 10:00 AM,27-Nov-2025 11:00 AM,"1,01,94,000",No,fixed,,Nil,Nil,1.0,corrigendum-2,Date,,1.0,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"60,000",Nil,Nil,No,Superintending Engineer,Superintending Engineer 3rd Circle HPPWD Solan HP near Slooni Mata Mandir Solan,"C/O Baddi Sheetalpur to Jagatkhana via Dasomajra road from km 0/0 to 23/550 (SH F.C, Filling, R/ wall, B/wall , MT, U and V shape Drain, parapets and Kilometer stone etc) UNDER NABARD RIDF-XXX","C/O Baddi Sheetalpur to Jagatkhana via Dasomajra road from km 0/0 to 23/550 (SH F.C, Filling, R/ wall, B/wall , MT, U and V shape Drain, parapets and Kilometer stone etc) UNDER NABARD RIDF-XXX",na,,"50,96,92,975",Civil Works,,Tender,75.0,730.0,Nalagarh,174101.0,9-10-2025 at 3rd Circle HPPWd Solan,Superintending Engineer 3rd circle HPPWD Solan HP,09-Oct-2025 11:30 AM,Superintending Engineer 3rd Circle HPPWD Solan,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Bid security shall be deposited through online mode and receipt to this effect shall be uploaded as,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details,Sales Tax/VAT,Sales Tax/VAT,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,3.0,Certificate Details,Bidders Address Format,Bidders Address Format Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor Registration certificate (Clause 3 of ITB),,,,,,,,,,,,,,,,,,,,4.0,Certificate Details,Affidavit regarding correctness of bid,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate from Chartered Accountant for last five financial years,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details,Machinery Details,Machinery Details,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of certificates (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous,Laboratory Equipment Details,Laboratory Equipment Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in the Bid Data Sheet,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous,Existing Work Order Commitment,Ongoing Work Order Details with percentage of work completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Scanned copies of the Certificates showing details of similar nature of works, work in hand and mach",,,,,,,,,,,,,,,,,,,,8.0,Work Details,Work Completed Certificate Copies,Work Completed Certificate Copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Similar nature of works executed (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Works in hand (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Machineries owned/brought on hire/ lease (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid capacity last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,"Bill,of quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
