Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Chamba  Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",NIT NO 13012-13111 DATED 11-12-2025,2025_HPIPH_123532_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF BID FORM,15-Dec-2025 10:00 AM,01-Jan-2026 01:30 PM,15-Dec-2025 10:00 AM,31-Dec-2025 04:00 PM,15-Dec-2025 10:00 AM,31-Dec-2025 04:00 PM,15-Dec-2025 10:00 AM,31-Dec-2025 04:00 PM,16-Feb-2026 11:30 AM,"3,61,730",No,fixed,,Nil,Nil,1.0,EXTENSION OF TENDER DATES,Date,,1.0,ICICI BANK,"5,000",Nil,Nil,No,EXECUTIVE ENGINEER,JAL SHAKTI DIVISION CHOWARI,Interception and diversion work in respect of Sewerage scheme to Chowari Town under SBM 2.0 in tehsil Bhattiyat Distt  Chamba HP,SH Providing  Laying jointing and testing of DI Pipe 150 mm dia CO Manhole Chambers Inspection Chambers and providing and installation of sewer connections,Please refer Tender documents.,,"2,86,73,047",Civil Works - Water Works,,Rate Contract,120.0,365.0,CHOWARI CHAMBA HP,176302.0,,,,CHOWARI,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY/BID SECURITY,,,,,,,,,,,,,,,,2.0,CORRECTION IN ADDITIONAL TERMS AND CONDITION NO 5,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"PAN NO, GST REGISTRATION, COPY OF ITR AND EPF REGISTRATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,UNDERTAKING REGARDING STUDIED ALL TERMS AND CONDITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,AUTHORIZATION LETTER REGARDING PERSON AUTHORIZED BY THE REGISTRED BIDDDER FOR UPLOADING BIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EXPERIANCE REGARDING EXECUTING THER WORK OF SEWERAGE NETWORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FORM 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FORM 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
