Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,Ghumarwin Berthin Shahtalai road Km.16/0 to 31/0,2026_PWD_125671_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form.,13-Jan-2026 05:00 PM,27-Jan-2026 11:30 AM,13-Jan-2026 05:00 PM,27-Jan-2026 11:00 AM,13-Jan-2026 05:00 PM,27-Jan-2026 11:00 AM,13-Jan-2026 05:00 PM,27-Jan-2026 11:00 AM,27-Feb-2026 11:30 AM,"25,76,000",Yes,fixed,,EE Jhandutta,SE10th Circle Bilaspur,1,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"20,000",EE Jhandutta,SE10th Circle Bilaspur,No,Superintending Engineer 10th Circle Bilaspur,Superintending Engineer 10th Circle Bilaspur,Upgradation of Ghumarwin Berthin Shahtalai road Km.16/0 to 31/0,Upgradation of Ghumarwin Berthin Shahtalai road Km.16/0 to 31/0,Please refer Tender documents.,,"12,87,88,996",Civil Works - Roads,,Tender,90.0,547.0,Ghumarwin,174001.0,,,,Superintending Engineer 10th Circle Bilaspur,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,2,Certificate Details,Registration Certificate,Registration Certificate Details,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,3,Certificate Details,Sales Tax/VAT,Sales Tax/VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Annual Turnover Last five year,,,,,,,,,,,,,,,,4,Certificate Details,Bidders Address Format,Bidders Address Format Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done Certificate,,,,,,,,,,,,,,,,5,Certificate Details,Income Tax Certificate,Income Tax Certificate Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Similar work done Certificate,,,,,,,,,,,,,,,,6,Certificate Details,Partnership Deed,Partnership Deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Credit facility duly issued by bank,,,,,,,,,,,,,,,,7,Certificate Details,Character Certificate,Character Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of staff and Affidavit,,,,,,,,,,,,,,,,8,Certificate Details,Labour License,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of Machinery plants and equipment and Affidavit, Relevant agreement.",,,,,,,,,,,,,,,,9,Certificate Details,Power of Attorney,Power of Attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding any litigation case of arbitration,,,,,,,,,,,,,,,,10,Certificate Details,Affidavit regarding correctness of bid,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Balance Sheet last five year,,,,,,,,,,,,,,,,11,Certificate Details,Affidavit regarding No Near Relative working in department,Affidavit regarding No Near Relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Existing commitment and ongoing works and bids already submitted,,,,,,,,,,,,,,,,12,Financial Details,Annual Turn over certificates from CA,Annual Turn over certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Quality Assurance Programme,,,,,,,,,,,,,,,,13,Financial Details,Access of Credit Facility issued by Bankers,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Working programme.,,,,,,,,,,,,,,,,14,Financial Details,Payment Certificates,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Pan No,,,,,,,,,,,,,,,,15,Litigation Details,Litigation Details,Litigation Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
