,District,dist_fldhzrd,dist_expscore,dist_vulnerscore,dist_respscore,dist_risk
0,23,2.0,1.0,2.0,4.0,2.0
1,11,3.0,2.0,2.0,4.0,3.0
2,14,2.0,2.0,2.0,4.0,2.0
3,3,2.0,2.0,2.0,4.0,2.0
4,1,2.0,1.0,2.0,5.0,2.0
5,26,2.0,2.0,2.0,4.0,3.0
6,27,2.0,2.0,2.0,4.0,2.0
7,30,2.0,3.0,2.0,5.0,2.0
8,24,3.0,1.0,2.0,5.0,3.0
9,10,2.0,1.0,3.0,5.0,3.0
10,33,2.0,3.0,2.0,5.0,2.0
11,12,2.0,1.0,2.0,5.0,2.0
12,29,3.0,2.0,2.0,4.0,3.0
13,18,2.0,2.0,1.0,4.0,2.0
14,15,2.0,2.0,2.0,5.0,3.0
15,19,2.0,2.0,2.0,5.0,2.0
16,13,1.0,1.0,1.0,5.0,1.0
17,6,1.0,3.0,2.0,5.0,2.0
18,22,1.0,2.0,2.0,4.0,2.0
19,16,1.0,2.0,2.0,5.0,2.0
20,5,2.0,1.0,3.0,5.0,3.0
21,8,2.0,1.0,2.0,5.0,2.0
22,20,2.0,1.0,2.0,5.0,2.0
23,21,2.0,2.0,2.0,4.0,2.0
24,28,2.0,1.0,2.0,5.0,2.0
25,2,2.0,1.0,2.0,5.0,2.0
26,32,2.0,1.0,2.0,5.0,2.0
27,9,2.0,2.0,2.0,5.0,3.0
28,34,2.0,1.0,2.0,4.0,2.0
29,7,2.0,1.0,2.0,5.0,2.0
30,4,3.0,2.0,2.0,5.0,3.0
31,17,2.0,3.0,2.0,5.0,2.0
32,35,2.0,2.0,2.0,4.0,2.0
33,31,2.0,2.0,2.0,5.0,2.0
34,25,3.0,1.0,3.0,4.0,4.0
