Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Dharampur Circle Irrigation and Public Health HP||Chauntra ,Irrigation and Public Health,HP",EE-CTR-3274-3323 dated 02.07.2025 Job No. 8,2025_HPIPH_109271_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,02-Jul-2025 05:10 PM,16-Jul-2025 11:30 AM,02-Jul-2025 05:10 PM,15-Jul-2025 05:10 PM,,,02-Jul-2025 05:10 PM,15-Jul-2025 05:10 PM,08-Aug-2025 03:10 PM,"9,652",No,fixed,,EE CHAUNTRA,CHAUNTRA/JOGINDER NAGAR,1.0,date extened,Date,,1.0,ICICI BANK,500.0,EE CHAUNTRA,CHAUNTRA/JOGINDER NAGAR,No,EE CHAUNTRA,EE JSD CHAUNTRA,Restoration of rain damages to LWSS Tansal Karsal and Bag in Tehsil Lad Bharol District Mandi H.P SH Co R wall to protect the filter bed,Restoration of rain damages to LWSS Tansal Karsal and Bag in Tehsil Lad Bharol District Mandi H.P SH Co R wall to protect the filter bed,Please refer Tender documents.,,"4,82,575",Civil Works - Others,,Tender,60.0,90.0,Joginder Nagar,175015.0,,,,JS DIVISION CTR,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"PAN,GST AND ITR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,UNDERTAKIN AND SV CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,DSC AUTHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
