gp_code,village_code,object_id,revenue_ci,net_sown_area_in_hac,total_hhd,availablility_hours_of_domestic_electricity,availability_of_telephone_services,total_hhd_having_piped_water_connection,total_hhd_not_having_sanitary_latrines
105815,299145,185.0,Silchar,0.0,680,2,2,0,1
253413,304247,233.0,Jalah (Pt),30.0,241,3,2,0,50
261148,302021,205.0,Bengtal,165.0,483,3,2,0,3
106139,280913,112.0,Dhubri (Pt),20.0,548,3,2,0,460
261148,302037,205.0,Bengtal,30.0,66,4,4,0,20
253664,301816,203.0,Kokrajhar (Pt),10.0,310,3,2,0,20
105834,299066,184.0,Katigora,50.0,170,3,2,40,58
253664,301818,203.0,Kokrajhar (Pt),3.0,107,3,2,0,20
253664,301815,203.0,Kokrajhar (Pt),30.0,230,3,2,0,7
253664,301813,203.0,Kokrajhar (Pt),12.2,111,3,2,0,28
105837,299017,184.0,Katigora,40.0,18,2,2,0,8
106139,280904,112.0,Dhubri (Pt),30.0,200,3,2,0,30
105815,299859,185.0,Silchar,0.0,32,4,1,0,1
253664,301811,203.0,Kokrajhar (Pt),5.0,147,3,2,0,2
106314,291521,159.0,Dibrugarh East,100.0,125,3,2,0,15
106139,280906,112.0,Dhubri (Pt),295.0,439,3,2,0,180
106555,301128,197.0,Katlichara,5.0,353,4,2,0,300
105868,299338,187.0,Sonai,50.0,768,3,2,0,17
105815,299133,185.0,Silchar,0.0,196,2,2,0,2
257798,295374,136.0,Kampur,0.0,21,2,2,0,20
105867,299622,187.0,Sonai,50.0,467,3,2,0,7
253606,305990,247.0,Mazbat,20.0,225,3,2,0,8
105868,299339,187.0,Sonai,30.0,595,3,3,0,132
253664,301812,203.0,Kokrajhar (Pt),5.0,169,3,2,0,12
257822,297754,179.0,Silonijan,1.0,17,3,2,0,10
106729,303003,214.0,Chamaria,2.47,584,3,2,0,10
106729,303004,214.0,Chamaria,20.0,945,3,2,0,10
272767,298289,181.0,Haflong,6.0,8,1,4,0,5
257810,297207,275.0,Phuloni,8.0,21,1,2,0,20
106958,288376,146.0,Dhakuakhana (Pt-I),19.0,245,2,4,0,76
253664,301808,203.0,Kokrajhar (Pt),20.0,109,3,2,8,11
272767,298332,181.0,Haflong,20.0,20,1,4,0,11
257798,295427,136.0,Kampur,0.0,211,4,2,0,20
106392,281915,115.0,Lakhipur,20.0,49,5,2,0,12
261149,302022,206.0,Sidli (Pt),60.0,500,3,2,0,40
107601,287032,250.0,Helem,70.86,125,3,2,12,65
105826,299052,184.0,Katigora,30.0,430,3,2,80,80
253604,305986,246.0,Udalguri,8.0,129,5,2,0,85
105825,299115,184.0,Katigora,80.0,571,3,2,208,40
106960,288289,150.0,Dhemaji,50.0,198,2,4,0,35
106961,288410,146.0,Dhakuakhana (Pt-I),164.0,119,5,2,0,50
105868,299352,187.0,Sonai,1.0,55,2,2,0,1
106960,288292,150.0,Dhemaji,70.56,36,2,4,0,10
106142,281666,257.0,Mankachar,100.0,169,2,2,0,70
107611,287034,250.0,Helem,2.47,194,3,2,0,10
106035,289100,151.0,Sissibargaon,25.0,183,3,2,0,1
106392,281912,115.0,Lakhipur,25.0,93,5,2,0,1
106392,281927,115.0,Lakhipur,28.0,53,5,2,0,25
106049,908036,153.0,Gogamukh,2.0,8,5,4,0,1
106047,289733,153.0,Gogamukh,852.0,111,3,2,0,43
257798,295444,136.0,Kampur,0.0,7,5,3,0,5
257798,295351,136.0,Kampur,0.0,74,2,2,0,16
105872,299674,187.0,Sonai,50.0,250,5,2,0,1
257810,297395,275.0,Phuloni,17.0,156,1,2,0,23
253603,306036,247.0,Mazbat,10.0,199,3,2,0,35
105837,299023,184.0,Katigora,35.0,1938,3,2,150,51
105872,299701,185.0,Silchar,5.0,79,3,2,0,1
106380,282446,118.0,Dudhnai,9.0,115,2,2,8,0
