object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,crop_area_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
101,0.0005436853714191,81.6457591699426,88.6197062492345,0.0930590203213984,3013.54262996033,14348.2314582334,88.8892135874056,0.729498152638311,0,1,0,0,0,0,1,0,0,0,0,1,0,2587,5,240,18,207,971,775,284,2097,7584.94299760298,5.05215634875567E-05,13488.2142327888,1963.04564899501,9528.7431565481,0.51242755138975,57728,1319.9,1,149,40,33,32,536234880,10,120705127,31,324150064,18,387070277,41,398928268,0,0,0,0,67,946747489,11,79275254,11,119498460,0,0,0,0,1,9930656
102,0.00064261002812208,47.9976979846674,89.1328468591607,0.0928532951415132,2816.0963383478,23043.7883402809,88.5504541238104,0.700084619459603,0,1,0,0,0,0,1,0,0,0,0,1,0,475,0,24,1,105,124,129,34,341,2715.8816850142,4.5079795312868E-05,3494.38228781923,293.308342262618,3680.98142146493,0.537393209496899,17767,698.5,0,108,39,33,15,164405953,5,199558714,8,125010694,14,228236860,11,166798342,0,0,0,0,26,440115556,7,110011216,6,57529055,0,0,0,0,1,12771228
103,0.00065159152771116,55.3851899728075,89.7405775381921,0.259455011746267,2860.80136502038,32052.1489231215,89.0365781450286,0.677208241020686,0,1,0,0,0,0,1,0,0,0,0,1,0,1516,11,194,80,167,458,430,211,1201,2152.0336545579,0.0003279621275905,4679.90956536178,261.933301164786,2863.68461801644,0.568189422933722,30261,2722.05,3,96,39,33,23,128222681,7,112623666,17,169023251,17,79470274,19,169971140,0,0,0,0,42,368844995,6,49024603,13,67508469,0,0,0,0,2,25812326
104,0.00051579388000844,106.788307415604,88.3328459719342,0.0817342036449526,2933.1438380106,38222.6163199434,89.2381125202022,0.741410632859568,0,1,0,0,0,0,1,0,0,0,0,1,0,2692,51,272,86,117,751,720,267,2128,7434.70586615342,0.0002264578879623,18282.1979788717,1788.70868113015,3668.89369389548,0.513088167752975,98730,3885.83,2,111,40,33,75,1197821390,15,766760511,29,286253950,57,1114737805,39,530860057,0,0,0,0,110,2173975415,16,146858151,33,661589280,0,0,0,0,6,178490808
105,0.00053729173317494,49.0240693026453,88.1525806600466,0.190196899750047,2603.11890101058,13884.2498830081,88.3776796995407,0.728412404107737,0,0,0,0,0,0,1,0,0,0,0,1,0,862,6,87,22,27,409,237,78,621,4932.12279722152,3.82469184666162E-05,3446.99694766865,451.702991512192,7286.67204589844,0.513269118183143,134973,3231.63,1,106,51,34,3,11677121,0,0,5,43876673,0,0,6,45876673,0,0,0,0,6,45876673,4,33676673,1,2000000,0,0,0,0,0,0
106,0.00057782184987646,42.9251607849848,88.4204084587087,0.149557727702595,2646.48425422136,5421.89530838158,88.5811424775957,0.714322759418661,0,1,0,0,0,0,1,0,0,0,0,1,0,380,0,53,4,36,173,114,48,312,5974.53518012718,4.1321956623027E-05,4657.86232669228,302.701200735963,3257.91160442211,0.509702814867099,0,0,0,96,39,33,1,1758136,0,0,1,14988965,1,1758136,0,0,0,0,0,0,2,16747101,0,0,0,0,0,0,0,0,0,0
107,0.00052037414915718,42.0403020746954,88.3558298260856,0.783836190369531,2613.55092779375,10168.1733168116,88.0872160755736,0.715474433429983,0,1,0,0,0,0,1,0,0,0,0,1,0,665,2,100,34,47,284,186,84,521,3863.90453915196,5.2658447236894E-05,4936.39063183229,354.230141392191,6170.69136047363,0.503250971548539,0,0,0,96,39,33,6,35610919,1,3500000,4,26250897,3,21856646,6,31753341,0,0,0,0,10,61021987,3,20338897,4,27211364,0,0,0,0,0,0
108,0.00051824636701692,94.5798575954852,87.8784699178817,0.298942668978402,2420.75778050431,15348.4281645885,88.1653252701026,0.753896046152672,0,0,0,0,0,0,1,0,0,0,0,1,0,810,26,114,63,25,257,273,123,669,5289.56342851355,9.72997325125985E-05,7192.26862024378,584.584618117498,4883.39168788017,0.478354018736393,0,0,0,96,39,33,9,68778808,3,34492065,2,42999570,8,43779176,2,42999570,0,0,0,0,13,121270811,1,24999632,2,13767660,0,0,0,0,2,19876238
109,0.00064474063739492,31.8291894305298,90.9020748374556,0.63909373953974,2281.26515602892,3989.83081165592,79.1804368633983,0.596660858721382,0,0,1,0,0,0,1,0,0,0,0,1,0,1364,54,194,133,184,698,537,1,1925,3474.36803058663,0.000108012172876,7240.08933527747,1035.30102888595,6800.18403634485,0.505894133153389,0,0,0,126,16,2,3,37163106,0,0,1,7134964,1,14850142,2,22312964,0,0,0,0,3,37163106,1,7134964,2,30028142,0,0,0,0,0,0
110,0.00068978717769718,33.5738844739917,90.2683457722695,0.105432397060304,3059.3214095357,7079.44182036568,85.8957213680496,0.63644226877592,0,1,0,0,0,0,1,0,0,0,0,1,0,1357,0,200,173,265,583,513,0,1954,3577.74152602159,3.33160851732828E-05,2961.63090380816,282.906192423576,2707.59193258575,0.519228627549277,1190,2646.5,2,136,16,2,13,148892055,0,0,6,30485601,3,90738000,10,58154055,0,0,0,0,13,148892055,6,30485601,7,118406454,0,0,0,0,0,0
111,0.0006671176346957,31.5741667313926,90.0011298576865,0.567531116195288,2487.05026732394,3060.43799952904,87.9554643367309,0.653487471258256,0,1,0,0,0,0,1,0,0,0,0,1,0,1257,5,180,151,321,564,502,2,1839,2595.75592393731,6.39352574758991E-05,3979.55699445255,240.034114286079,1948.95647132337,0.524343470041765,1179,3851,0,149,16,2,12,106270377,1,12326241,2,15134348,5,55188304,7,51082073,0,0,0,0,13,118596618,2,15134348,10,91136029,0,0,0,0,1,12326241
112,0.00066812459923136,29.515504981667,90.5839683370902,0.50056915769186,2085.12236790008,3265.09099385983,83.3990939357075,0.601525685064736,0,1,0,0,0,0,1,0,0,0,0,1,0,3088,147,453,283,505,1386,1183,23,4272,3197.44479411246,0.0001827077213211,6549.9104538125,831.472183802822,4667.91398012403,0.531677634262842,522666,3794,2,160,28,2,29,820879735,7,332323066,21,697031223,2,20118843,28,826194120,0,0,0,0,41,1335198351,21,697031223,12,440980163,0,0,0,0,7,188886965
113,0.0006353356674109,37.6750164285955,89.8462035411944,0.613764624359615,2323.48048629257,10919.4441802605,88.6381446531096,0.667355079627478,0,1,0,0,0,0,1,0,0,0,0,1,0,2470,80,364,249,370,995,971,6,3549,2820.31295323606,6.97167333973765E-05,4380.05968391289,236.975796651058,2833.85200818595,0.531774123578236,393059,9501.4,5,177,16,2,24,303066527,2,19802652,15,115457763,2,124483100,26,214013358,0,0,0,0,30,358299110,15,115457763,12,106537595,0,0,0,0,3,136303752
114,0.00059200441403576,42.2191372753619,89.2548181003772,0.599164901686684,2462.96577766194,7564.82227241852,87.6867947942097,0.670622838522717,0,1,0,0,0,0,1,0,0,0,0,1,0,558,4,65,40,145,143,183,1,647,2516.85363266316,6.4922231850734E-05,2514.8498632933,316.367225608738,1840.46801810744,0.508848503073479,168683,5808.2,1,132,16,3,2,38798000,0,0,0,0,0,0,3,44797943,0,0,0,0,3,44797943,0,0,3,44797943,0,0,0,0,0,0
115,0.00061503919743404,35.3270350973641,90.5053120743302,0.397971439486809,2351.10105187924,13946.3035930195,80.1398723010397,0.575061250266386,0,0,0,0,0,0,1,0,0,0,0,1,0,1615,0,222,62,374,982,423,110,2225,4130.24378859202,0.0004774718635137,18200.9407299646,913.071464537084,4562.78516034519,0.520699561635653,458793,27914,7,42,5,2,11,182851842,4,39816611,8,44944835,5,144178278,8,53253094,0,0,0,0,18,246951796,7,40895175,7,56834531,0,0,0,0,3,136385090
116,0.00053325944585002,64.7037010391921,88.8201022762116,0.275747924449112,2491.4882091241,14895.5468858855,87.3546560565175,0.687711813046199,0,0,0,0,0,0,1,0,0,0,0,1,0,2414,12,356,113,329,985,570,165,3368,3197.03339712573,0.0003720265265622,10298.8634446654,435.013167402037,2453.50495475574,0.516552787281499,219639,11574.84,4,24,7,2,14,324183125,0,0,6,205940184,3,78264458,9,116611758,0,0,0,0,14,324183125,6,205940184,4,37425874,0,0,0,0,3,73291609
117,0.000584984931918,49.7637831988142,89.3677564724015,0.540409380028834,2266.5330012309,13926.5369324813,86.7680487486178,0.663864441295181,0,0,0,0,0,0,1,0,0,0,0,1,0,2391,0,363,119,406,890,617,233,3363,3069.6258713432,0.0003117922883525,5728.63206257447,329.344252700619,2740.16792850868,0.553554097681523,74216,7673.2,7,12,4,4,6,121027517,20,852037292,5,117893105,2,67376000,6,86545135,0,0,0,0,27,1003064457,5,117893105,5,95846853,0,0,0,0,0,0
118,0.0005606166497629,54.7146441766419,89.3301089566804,0.109463108320251,2083.51889657111,22572.7363574544,89.2207579819272,0.702941106315551,0,0,0,0,0,0,1,0,0,0,0,1,0,559,0,23,4,46,136,181,6,772,3010.78998176419,0.0001479644039603,2641.05646843543,231.904249088581,2449.9310998298,0.555064995982209,82,86,0,6,4,3,2,29999410,2,119470314,2,29999410,0,0,0,0,0,0,0,0,4,149469724,2,29999410,2,119470314,0,0,0,0,0,0
119,0.0005647592136738,52.4706805175752,89.1391234382931,0.224221630183307,1620.66491695781,24057.788578708,89.2978092673245,0.707248560978915,0,0,0,0,0,0,1,0,0,0,0,1,0,1113,0,151,22,157,335,281,56,1495,3274.57491022836,7.4353836791889E-05,5110.80626552215,273.859605236525,2620.82961703535,0.535113273787414,0,5271,4,4,4,2,6,162132335,0,0,1,4985888,5,157146447,1,4985888,0,0,0,0,6,162132335,1,4985888,1,2437624,0,0,0,0,0,0
120,0.00066318489658106,40.254814416316,90.5744304637632,0.322433927112317,2477.79826464112,5333.94862182738,78.6547364070853,0.613100521329564,0,1,0,0,0,0,1,0,0,0,0,1,0,1693,68,209,177,296,981,629,0,1529,2917.41921842098,0.0004658927746086,14980.9381503663,636.081219630392,3181.48696500533,0.498168016988707,710468,6569.6,8,931,127,74,1,6921000,0,0,0,0,1,6921000,0,0,0,0,0,0,1,6921000,0,0,1,6921000,0,0,0,0,0,0
121,0.00064056462713556,39.5204114440096,91.2403609805552,0.486319427209568,2136.96222705173,3798.13792331274,73.3383113701147,0.576681017768065,0,1,0,0,0,0,1,0,0,0,0,1,0,2391,28,354,214,428,1359,884,0,2257,4486.80620244294,0.0006252085039208,21394.2362237669,992.607734294766,4860.05563111247,0.513982748549621,370497,43074.2,10,927,120,76,17,443766584,1,24536816,12,152186694,6,179407384,14,341986584,1,21052384,0,0,21,499826384,12,152186694,6,227770490,0,0,0,0,2,98816816
122,0.0006584161235842,42.2806852618396,90.4245887414249,1.17401046141454,1775.66356883193,5310.65710000431,86.9274906215548,0.670622385433816,0,1,0,0,0,0,1,0,0,0,0,1,0,2986,150,386,298,390,1453,1095,7,2703,2261.31517964025,0.0006480290741495,19640.7352981567,278.212594610989,1876.96038206568,0.513324775639921,802928,16117,13,1079,121,74,40,834813898,33,1419647026,37,640173368,5,206231538,50,1651992106,0,0,0,0,80,2419403400,37,640173368,30,1496965757,0,0,0,0,11,278619475
123,0.00065620283410472,42.8212002413091,90.0165204864131,1.49531118594071,1680.30744901733,6094.0763622676,88.0077389015054,0.680842968474845,0,1,0,0,0,0,1,0,0,0,0,1,0,1693,30,257,150,293,632,662,0,1599,2106.75382088488,0.0002014857808164,14788.3853854359,179.217307820812,2155.7920231256,0.511067142673567,744489,10430,9,944,123,79,1,9609000,2,19961478,1,11999965,0,0,2,21608965,0,0,0,0,4,41570443,0,0,1,9609000,0,0,0,0,1,8000000
124,0.0006816049127365,48.8755853859764,89.1234360169886,0.829805393918359,1754.68337394063,23418.452657692,89.2203235795066,0.697910021682651,0,0,0,0,0,0,1,0,0,0,0,1,0,942,3,147,73,86,180,344,0,880,1991.81734199524,0.0006788929044253,4813.97981047771,225.616099219431,1557.05142773961,0.548244202953009,285400,12228,7,951,132,81,1,767556000,0,0,0,0,0,0,1,767556000,0,0,0,0,1,767556000,0,0,1,767556000,0,0,0,0,0,0
125,0.00069977521984694,51.946364989477,89.1144679881522,0.853290569080043,1764.18175569824,30886.5610611394,89.9806259364404,0.689147281054255,0,0,0,1,0,0,0,0,0,0,0,1,0,168,0,19,4,0,0,59,0,157,2069.01706793369,0.0001144980405791,13543.5511410362,270.566867010934,1539.71710377648,0.563543024388226,0,0,0,919,120,73,,,,,,,,,,,,,,,,,,,,,,,,,,
