,infrastructure damaged - embankment breached,District,Number,Details,,,,,,Date
0,,Lakhimpur,1,"North Lakhimpur - NA ALI TELIAPATHAR GHANCHARAI RIGHT BANK | NA ALI TELIA PATHAR | Embankment breached at NA ALI TELIAPATHAR GHANCHARAI RIGHT BANK about 20 MTR as reported by WR department, NLP on 10-10-2022. | (Long - 0.000000, Lat - 0.000000)",,,,,,10-10-2022
1,,Total,1,,,,,,,10-10-2022
