,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Baksa,1,"Baska - Deojora embankment breached | Chanbarikhuti | Date: 18/6/2022 | (Long - 91.334030, Lat - 26.636312)",23-06-2022
1,,Darrang,1,"Mangaldoi - Canal embankment at extension of Noanadi under irrigation | Village Holoichowka under Mangaldai Revenue Circle | as reported by irrigation department their is bridge of Canal embankment at extension of Noanadi I/S at several places due to excess flood water of river. Dated: 22-6-2022 | (Long - 91.970000, Lat - 26.480000)",23-06-2022
2,,Total,2,,23-06-2022
