,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Bongaigaon,1,"Manikpur - Embankment from Switch Gate to Abdul Barek house Ph-I | Embankment from Switch Gate to Abdul Barek house Ph-I | Embankment from Switch Gate to Abdul Barek house Ph-I, 0.1 km. Reported by Zila Parishad Bongaigaon Dated-01.07.2022 | (Long - 90.754296, Lat - 26.451248)",03-07-2022
1,,Total,1,,03-07-2022
