,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Baksa,1,"Baska - Natunsripur Simlatol Band Natural canal embankment | Natunsripur | Natunsripur Simlatol Band Natural canal embankment damaged at village Ntunsripur. Date: 20/06/2022 | (Long - 91.325566, Lat - 26.623222)",25-06-2022
1,,Darrang,6,"Mangaldoi - Kulshik (Naharbari) FIS under Irrigation | Pariapara, Kapilisatra & Naharbari | As reported by irrigation Dept. Afflux bund, guide bund and canal embankment has been damage/ breach at different chainages. Dated.22/06/2022 | (Long - 91.944867, Lat - 26.509267),  Bhalukmari FIS under Irrigation | Raja Howly | As reported by irrigation Dept. Breach of canal Embankment due to excess flood water. Dated.22/06/2022 | (Long - 92.073984, Lat - 26.609561), Bega FIS under irrigation Dept. | Teteli Bhaguri | As reported by irrigation Dept. Errosion of left side guide bund 100.00 M approx. Dated.22/06/2022 | (Long - 92.074930, Lat - 26.584640),  CM Dutta Bund FIS under irrigation. | Kanaichuba | As reported by irrigation Dept. Breach of CM Dutta Bund FIS main canal at Ch.9750.00M, 10750.00M, 10800.00M and 11000.00 M. Dated.22/06/2022 | (Long - 91.989010, Lat - 26.464190),  CM Dutta Bund FIS under irrigation | Daha | As reported by irrigation Dept. Breach of CM Dutta Bund FIS Branch canal at Ch.400.00M, 1100.00M and 1800.00 M. Dated.22/06/2022 | (Long - 92.008900, Lat - 26.496190),  L/B Embankment of Saktola Rver | Barthekerabar | As reported by Mangaldai W.R Dvn due to public cut on L/B Embankment of Saktola River ar CH. 9100 M near Barthekerabari Village as on 25-06-2022 | (Long - 0.000000, Lat - 0.000000)",25-06-2022
2,,Darrang,,"Mangaldoi - Kulshik (Naharbari) FIS under Irrigation | Pariapara, Kapilisatra & Naharbari | As reported by irrigation Dept. Afflux bund, guide bund and canal embankment has been damage/ breach at different chainages. Dated.22/06/2022 | (Long - 91.944867, Lat - 26.509267),  Bhalukmari FIS under Irrigation | Raja Howly | As reported by irrigation Dept. Breach of canal Embankment due to excess flood water. Dated.22/06/2022 | (Long - 92.073984, Lat - 26.609561), Bega FIS under irrigation Dept. | Teteli Bhaguri | As reported by irrigation Dept. Errosion of left side guide bund 100.00 M approx. Dated.22/06/2022 | (Long - 92.074930, Lat - 26.584640),  CM Dutta Bund FIS under irrigation. | Kanaichuba | As reported by irrigation Dept. Breach of CM Dutta Bund FIS main canal at Ch.9750.00M, 10750.00M, 10800.00M and 11000.00 M. Dated.22/06/2022 | (Long - 91.989010, Lat - 26.464190),  CM Dutta Bund FIS under irrigation | Daha | As reported by irrigation Dept. Breach of CM Dutta Bund FIS Branch canal at Ch.400.00M, 1100.00M and 1800.00 M. Dated.22/06/2022 | (Long - 92.008900, Lat - 26.496190),  L/B Embankment of Saktola Rver | Barthekerabar | As reported by Mangaldai W.R Dvn due to public cut on L/B Embankment of Saktola River ar CH. 9100 M near Barthekerabari Village as on 25-06-2022 | (Long - 0.000000, Lat - 0.000000)",25-06-2022
3,,Udalguri,2,"Kalaigaon - Embankment at village Bholabari in the L/B of river Kulshi | Bholabari | The embankment which had damaged in the recent flood has breached on 25/06/2022 due to erosion caused by overflowing and receding flood water from river Kulshi covering a length of around 150 meters and breadth of 6 meters. | (Long - 91.976321, Lat - 26.587858),  Embankment at village Bholabari in the R/B of river Kulshi | Bholabari | The embankment which had damaged in the recent flood has breached on 25/06/2022 due to erosion caused by overflowing and receding flood water from river Kulshi covering a length of around 170 meters and breadth of 6 meters. | (Long - 91.977121, Lat - 26.591620)",25-06-2022
4,,Total,9,,25-06-2022
