,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Udalguri,3,"Udalguri - Breach of Golandi river R/B embankment at ch 500m | Batabari (Phuhurabari) | As reported by WRD on 11.07.2022, the breach length of Golandi river R/B embankment at Batabari (Phuhurabari) village is extended upto 350 m (from ch 500m to 850m) on 08.07.2022. | (Long - 92.105185, Lat - 26.786794),  Breach of Golandi river R/B embankment at ch 1200m | Batabari (Phuhurabari) | As reported by WRD on 11.07.2022, the breach length of Golandi river R/B embankment at Batabari (Phuhurabari) village is extended upto 405 m (from ch. 1200m to 1605m) on 08.07.2022. | (Long - 92.115384, Lat - 26.764347),  Breach of Golandi river R/B embankment at ch 3000m | Purani Thana | As reported by WRD on 11.07.2022, the breach length of Golonoi river R/B embankment at village Purani Thana is extended upto 1129 m (from ch. 3000m to 4129 m). The portion from ch. 3515m to ch. 3650m is washed away due to rising of water level on 07.07.2022. | (Long - 92.117860, Lat - 26.764822)",11-07-2022
1,,Total,3,,11-07-2022
