,infrastructure damaged - embankment breached,District,Number,Details,Date
0,,Nagaon,3,"Raha - Khaigarh Meteka Dighaldari Deobali Phulaguri | Deobali | Date of Occurrence from- 20/06/2022 Breach- 50 m Department-Raha Territorial Road Sub-Division | (Long - 0.000000, Lat - 0.000000),  Phulaguri to Uttar Petborha | Garmur Satra | Date of Occurrence from- 20/06/2022 Breach 1- 50 m Department-Raha Territorial Road Sub-Division | (Long - 0.000000, Lat - 0.000000),  Phulaguri to Uttar Petborha | Garmur Satra | Date of Occurrence from- 20/06/2022 Breach 2- 50 m Department-Raha Territorial Road Sub-Division | (Long - 0.000000, Lat - 0.000000)",24-06-2022
1,,Total,3,,24-06-2022
